disease_uri,disease_uriLabel,HealthSpecialtyLabel,TreatmentDrugsLabel,CauseLabel,SymptonsLabel
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,pantoprazole,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,magnesium hydroxide,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,glycopyrrolate,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,Hyoscyamine,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,Magaldrate,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,omeprazole,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,esomeprazole,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,glycine,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,propantheline,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,aluminium carbonate,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,Calcium Gluceptate,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,clidinium,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,hexocyclium,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q172941,peptic ulcer disease,gastroenterology,carbonate ion,non-steroidal anti-inflammatory drug,melena
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,azathioprine,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,cholecalciferol,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,thalidomide,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,aminosalicylic acid,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,adalimumab,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Natalizumab,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,naltrexone,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,tacrolimus,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,mesalazine,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Certolizumab pegol,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,infliximab,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Ustekinumab,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,budesonide,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,methotrexate,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,dexamethasone,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Abatacept,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Sargramostim,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Mecasermin,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,teduglutide,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Vedolizumab,,fatigue
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,azathioprine,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,cholecalciferol,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,thalidomide,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,aminosalicylic acid,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,adalimumab,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Natalizumab,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,naltrexone,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,tacrolimus,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,mesalazine,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Certolizumab pegol,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,infliximab,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Ustekinumab,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,budesonide,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,methotrexate,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,dexamethasone,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Abatacept,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Sargramostim,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Mecasermin,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,teduglutide,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Vedolizumab,,fever
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,azathioprine,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,cholecalciferol,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,thalidomide,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,aminosalicylic acid,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,adalimumab,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Natalizumab,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,naltrexone,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,tacrolimus,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,mesalazine,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Certolizumab pegol,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,infliximab,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Ustekinumab,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,budesonide,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,methotrexate,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,dexamethasone,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Abatacept,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Sargramostim,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Mecasermin,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,teduglutide,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Vedolizumab,,diarrhea
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,azathioprine,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,cholecalciferol,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,thalidomide,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,aminosalicylic acid,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,adalimumab,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Natalizumab,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,naltrexone,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,tacrolimus,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,mesalazine,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Certolizumab pegol,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,infliximab,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Ustekinumab,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,budesonide,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,methotrexate,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,dexamethasone,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Abatacept,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Sargramostim,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Mecasermin,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,teduglutide,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Vedolizumab,,constipation
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,azathioprine,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,cholecalciferol,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,thalidomide,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,aminosalicylic acid,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,adalimumab,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Natalizumab,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,naltrexone,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,tacrolimus,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,mesalazine,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Certolizumab pegol,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,infliximab,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Ustekinumab,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,budesonide,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,methotrexate,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,dexamethasone,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Abatacept,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Sargramostim,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Mecasermin,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,teduglutide,,abdominal pain
http://www.wikidata.org/entity/Q1472,Crohn's disease,gastroenterology,Vedolizumab,,abdominal pain
http://www.wikidata.org/entity/Q202173,hordeolum,ophthalmology,,Staphylococcus aureus,
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,lithium compounds,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,lithium compounds,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,topiramate,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,topiramate,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,alprazolam,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,alprazolam,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,sertraline,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,sertraline,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,clonazepam,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,clonazepam,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,paroxetine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,paroxetine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,quetiapine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,quetiapine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,(RS)-citalopram,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,(RS)-citalopram,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,lamotrigine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,lamotrigine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,carbamazepin,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,carbamazepin,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,aripiprazole,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,aripiprazole,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,duloxetine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,duloxetine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,risperidone,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,risperidone,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,nefazodone,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,nefazodone,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,tranylcypromine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,tranylcypromine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,fluoxetine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,fluoxetine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,escitalopram,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,escitalopram,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,prazosin,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,prazosin,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,venlafaxine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,venlafaxine,war,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,lithium compounds,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,lithium compounds,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,topiramate,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,topiramate,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,alprazolam,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,alprazolam,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,sertraline,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,sertraline,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,clonazepam,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,clonazepam,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,paroxetine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,paroxetine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,quetiapine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,quetiapine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,(RS)-citalopram,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,(RS)-citalopram,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,lamotrigine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,lamotrigine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,carbamazepin,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,carbamazepin,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,aripiprazole,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,aripiprazole,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,duloxetine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,duloxetine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,risperidone,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,risperidone,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,nefazodone,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,nefazodone,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,tranylcypromine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,tranylcypromine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,fluoxetine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,fluoxetine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,escitalopram,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,escitalopram,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,prazosin,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,prazosin,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,psychiatry,venlafaxine,rape,anxiety
http://www.wikidata.org/entity/Q202387,post-traumatic stress disorder,clinical psychology,venlafaxine,rape,anxiety
