medicine_uri,medicine_uriLabel,ConditionsTreatedLabel
http://www.wikidata.org/entity/Q186127,dactinomycin,rhabdomyosarcoma
http://www.wikidata.org/entity/Q186127,dactinomycin,connective tissue benign neoplasm
http://www.wikidata.org/entity/Q186127,dactinomycin,testicular germ cell tumor non-seminomatous
http://www.wikidata.org/entity/Q186127,dactinomycin,familial retinoblastoma
http://www.wikidata.org/entity/Q186242,norepinephrine,neurogenic shock
http://www.wikidata.org/entity/Q186474,L-Cysteine,
http://www.wikidata.org/entity/Q186521,L-Threonine,
http://www.wikidata.org/entity/Q186969,ibuprofen,enthesopathy
http://www.wikidata.org/entity/Q186969,ibuprofen,ankylosing spondylitis
http://www.wikidata.org/entity/Q186969,ibuprofen,osteoarthritis
http://www.wikidata.org/entity/Q186969,ibuprofen,pain
http://www.wikidata.org/entity/Q186969,ibuprofen,inflammation
http://www.wikidata.org/entity/Q186969,ibuprofen,gout
http://www.wikidata.org/entity/Q186969,ibuprofen,migraine disorder
http://www.wikidata.org/entity/Q186969,ibuprofen,gastroenteritis
http://www.wikidata.org/entity/Q186969,ibuprofen,arthritis
http://www.wikidata.org/entity/Q186969,ibuprofen,sinusitis
http://www.wikidata.org/entity/Q186969,ibuprofen,tonsillitis
http://www.wikidata.org/entity/Q186969,ibuprofen,rheumatoid arthritis
http://www.wikidata.org/entity/Q186969,ibuprofen,premenstrual syndrome
http://www.wikidata.org/entity/Q186969,ibuprofen,hyperthermia
http://www.wikidata.org/entity/Q186969,ibuprofen,fibromyalgia
http://www.wikidata.org/entity/Q186969,ibuprofen,bursitis
http://www.wikidata.org/entity/Q186969,ibuprofen,juvenile rheumatoid arthritis
http://www.wikidata.org/entity/Q186969,ibuprofen,pharyngitis
http://www.wikidata.org/entity/Q186969,ibuprofen,gout attack
http://www.wikidata.org/entity/Q186969,ibuprofen,nasopharyngitis
http://www.wikidata.org/entity/Q186969,ibuprofen,sleep-wake disorder
http://www.wikidata.org/entity/Q186969,ibuprofen,osteoarthritis susceptibility 1
http://www.wikidata.org/entity/Q187921,phenolphthalein,
http://www.wikidata.org/entity/Q188017,L-Tyrosine,nutrition disorder
http://www.wikidata.org/entity/Q189522,quinine,babesiosis
http://www.wikidata.org/entity/Q189522,quinine,cramp
http://www.wikidata.org/entity/Q189522,quinine,Plasmodium falciparum malaria
http://www.wikidata.org/entity/Q190012,adenosine,Wolff-Parkinson-White syndrome
http://www.wikidata.org/entity/Q190012,adenosine,paroxysmal tachycardia
http://www.wikidata.org/entity/Q190016,heparin,pulmonary embolism
http://www.wikidata.org/entity/Q190067,tetrahydrocannabinol,vomiting
http://www.wikidata.org/entity/Q190067,tetrahydrocannabinol,anorexia nervosa
http://www.wikidata.org/entity/Q190067,tetrahydrocannabinol,anorexia
http://www.wikidata.org/entity/Q190077,zinc oxide,dermatitis
http://www.wikidata.org/entity/Q190875,cortisol,ulcerative colitis
http://www.wikidata.org/entity/Q190875,cortisol,hemorrhoid
http://www.wikidata.org/entity/Q190875,cortisol,enthesopathy
http://www.wikidata.org/entity/Q190875,cortisol,inflammation
http://www.wikidata.org/entity/Q190875,cortisol,status asthmaticus
http://www.wikidata.org/entity/Q190875,cortisol,Pruritus ani
http://www.wikidata.org/entity/Q190875,cortisol,neurogenic shock
http://www.wikidata.org/entity/Q190875,cortisol,congenital adrenal hyperplasia due to 3 beta-hydroxysteroid dehydrogenase deficiency
http://www.wikidata.org/entity/Q190875,cortisol,adrenal cortical hypofunction
http://www.wikidata.org/entity/Q190875,cortisol,facial dermatosis
http://www.wikidata.org/entity/Q190875,cortisol,scalp dermatosis
http://www.wikidata.org/entity/Q190875,cortisol,leg dermatosis
http://www.wikidata.org/entity/Q190875,cortisol,hand dermatosis
http://www.wikidata.org/entity/Q190875,cortisol,pituitary deficiency
http://www.wikidata.org/entity/Q190875,cortisol,chronic primary adrenal insufficiency
http://www.wikidata.org/entity/Q191521,sildenafil,erectile dysfunction
http://www.wikidata.org/entity/Q191521,sildenafil,pulmonary hypertension
http://www.wikidata.org/entity/Q191521,sildenafil,vasculogenic impotence
http://www.wikidata.org/entity/Q191700,benzoic acid,
http://www.wikidata.org/entity/Q191924,D-methamphetamine,obesity
http://www.wikidata.org/entity/Q245280,sorbitol,constipation
http://www.wikidata.org/entity/Q245280,sorbitol,end stage renal failure
http://www.wikidata.org/entity/Q248466,natamycin,conjunctivitis
http://www.wikidata.org/entity/Q248466,natamycin,aspergillosis
http://www.wikidata.org/entity/Q248466,natamycin,candidiasis
http://www.wikidata.org/entity/Q248466,natamycin,fungal infectious disease
http://www.wikidata.org/entity/Q248466,natamycin,blastomycosis
http://www.wikidata.org/entity/Q248466,natamycin,histoplasmosis
http://www.wikidata.org/entity/Q248466,natamycin,keratitis
http://www.wikidata.org/entity/Q248466,natamycin,sporotrichosis
http://www.wikidata.org/entity/Q248466,natamycin,blepharitis
http://www.wikidata.org/entity/Q248466,natamycin,coccidioidomycosis
http://www.wikidata.org/entity/Q248466,natamycin,cryptococcosis
http://www.wikidata.org/entity/Q248466,natamycin,microsporidiosis
http://www.wikidata.org/entity/Q248550,leflunomide,arthritis
http://www.wikidata.org/entity/Q248550,leflunomide,rheumatoid arthritis
http://www.wikidata.org/entity/Q251005,Nystatin,candidiasis
http://www.wikidata.org/entity/Q251005,Nystatin,vulvovaginal candidiasis
http://www.wikidata.org/entity/Q251005,Nystatin,oral candidiasis
http://www.wikidata.org/entity/Q251005,Nystatin,chronic mucocutaneous candidiasis
http://www.wikidata.org/entity/Q251005,Nystatin,cutaneous candidiasis
http://www.wikidata.org/entity/Q251347,haloperidol,mental disorder
http://www.wikidata.org/entity/Q251347,haloperidol,schizophrenia
http://www.wikidata.org/entity/Q251347,haloperidol,vomiting
http://www.wikidata.org/entity/Q251347,haloperidol,anxiety
http://www.wikidata.org/entity/Q251347,haloperidol,psychosis
http://www.wikidata.org/entity/Q251347,haloperidol,Tourette syndrome
http://www.wikidata.org/entity/Q251347,haloperidol,schizoaffective disorder
http://www.wikidata.org/entity/Q251347,haloperidol,schizophreniform disorder
http://www.wikidata.org/entity/Q251698,amifostine,
http://www.wikidata.org/entity/Q252251,cyanocobalamin,multiple sclerosis
http://www.wikidata.org/entity/Q252251,cyanocobalamin,pernicious anemia
http://www.wikidata.org/entity/Q252251,cyanocobalamin,alcoholic neuropathy
http://www.wikidata.org/entity/Q252251,cyanocobalamin,diabetic polyneuropathy
http://www.wikidata.org/entity/Q254296,lansoprazole,peptic ulcer disease
http://www.wikidata.org/entity/Q254296,lansoprazole,gastritis
http://www.wikidata.org/entity/Q254296,lansoprazole,Zollinger-Ellison syndrome
http://www.wikidata.org/entity/Q254296,lansoprazole,gastroesophageal reflux disease
http://www.wikidata.org/entity/Q254296,lansoprazole,esophagitis
http://www.wikidata.org/entity/Q254296,lansoprazole,indigestion
http://www.wikidata.org/entity/Q254296,lansoprazole,hiatus hernia
http://www.wikidata.org/entity/Q254296,lansoprazole,gastric ulcer
http://www.wikidata.org/entity/Q254296,lansoprazole,duodenal ulcer
http://www.wikidata.org/entity/Q254296,lansoprazole,arterial occlusive disease
http://www.wikidata.org/entity/Q255680,mazindol,obesity
http://www.wikidata.org/entity/Q255968,aminocaproic acid,bleeding
http://www.wikidata.org/entity/Q256502,alpha-linolenic acid,cancer
http://www.wikidata.org/entity/Q256502,alpha-linolenic acid,arthritis
http://www.wikidata.org/entity/Q256502,alpha-linolenic acid,Sjögren's syndrome
http://www.wikidata.org/entity/Q256502,alpha-linolenic acid,nutrition disorder
http://www.wikidata.org/entity/Q256502,alpha-linolenic acid,familial hyperlipidemia
http://www.wikidata.org/entity/Q256602,ciprofloxacin,pneumonia
http://www.wikidata.org/entity/Q256602,ciprofloxacin,staphylococcal infection
http://www.wikidata.org/entity/Q256602,ciprofloxacin,typhoid fever
http://www.wikidata.org/entity/Q256602,ciprofloxacin,gonorrhea
http://www.wikidata.org/entity/Q256602,ciprofloxacin,anthrax
http://www.wikidata.org/entity/Q256602,ciprofloxacin,dysentery
http://www.wikidata.org/entity/Q256602,ciprofloxacin,gastroenteritis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,sinusitis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,bubonic plague
http://www.wikidata.org/entity/Q256602,ciprofloxacin,urinary tract infection
http://www.wikidata.org/entity/Q256602,ciprofloxacin,hyperthermia
http://www.wikidata.org/entity/Q256602,ciprofloxacin,cystitis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,prostatitis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,otitis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,pyelonephritis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,orchitis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,campylobacteriosis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,bacterial infectious disease
http://www.wikidata.org/entity/Q256602,ciprofloxacin,cellulitis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,osteomyelitis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,diverticulitis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,epididymitis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,neutropenia
http://www.wikidata.org/entity/Q256602,ciprofloxacin,colitis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,upper respiratory tract infection
http://www.wikidata.org/entity/Q256602,ciprofloxacin,infectious bone disease
http://www.wikidata.org/entity/Q256602,ciprofloxacin,Pseudomonas infection
http://www.wikidata.org/entity/Q256602,ciprofloxacin,renal infectious disease
http://www.wikidata.org/entity/Q256602,ciprofloxacin,bacterial conjunctivitis
http://www.wikidata.org/entity/Q256602,ciprofloxacin,Escherichia coli infectious disease
http://www.wikidata.org/entity/Q256602,ciprofloxacin,bacteroides infectious disease
http://www.wikidata.org/entity/Q256602,ciprofloxacin,gram-negative bacterial infection
http://www.wikidata.org/entity/Q256602,ciprofloxacin,urinary tract infection
http://www.wikidata.org/entity/Q257331,α-streptozocin,pancreatic cancer
http://www.wikidata.org/entity/Q257331,α-streptozocin,large intestine cancer
http://www.wikidata.org/entity/Q257331,α-streptozocin,"Hodgkin's lymphoma, mixed cellularity"
http://www.wikidata.org/entity/Q258450,penicillin G,gonorrhea
http://www.wikidata.org/entity/Q258450,penicillin G,diphtheria
http://www.wikidata.org/entity/Q258450,penicillin G,botulism
http://www.wikidata.org/entity/Q258450,penicillin G,actinomycosis
http://www.wikidata.org/entity/Q258450,penicillin G,anthrax septicemia
http://www.wikidata.org/entity/Q258450,penicillin G,staphylococcal septicemia
http://www.wikidata.org/entity/Q258591,cilostazol,intermittent claudication
http://www.wikidata.org/entity/Q258591,cilostazol,cerebral infarction
http://www.wikidata.org/entity/Q259930,fusidic acid,
http://www.wikidata.org/entity/Q260286,iniparib,
http://www.wikidata.org/entity/Q260326,tioconazole,vulvovaginal candidiasis
http://www.wikidata.org/entity/Q261167,ibudilast,
http://www.wikidata.org/entity/Q262210,isoconazole,
http://www.wikidata.org/entity/Q384993,isoflurophate,glaucoma
http://www.wikidata.org/entity/Q384993,isoflurophate,mechanical strabismus
http://www.wikidata.org/entity/Q385347,6-thioguanine,acute myeloid leukemia
http://www.wikidata.org/entity/Q385370,desoximetasone,inflammation
http://www.wikidata.org/entity/Q385370,desoximetasone,psoriasis
http://www.wikidata.org/entity/Q385370,desoximetasone,facial dermatosis
http://www.wikidata.org/entity/Q385370,desoximetasone,scalp dermatosis
http://www.wikidata.org/entity/Q385370,desoximetasone,leg dermatosis
http://www.wikidata.org/entity/Q385370,desoximetasone,hand dermatosis
http://www.wikidata.org/entity/Q385858,Ajmaline,
http://www.wikidata.org/entity/Q386119,Natalizumab,multiple sclerosis
http://www.wikidata.org/entity/Q386119,Natalizumab,relapsing-remitting multiple sclerosis
http://www.wikidata.org/entity/Q386119,Natalizumab,secondary progressive multiple sclerosis
http://www.wikidata.org/entity/Q388565,rifamycin,
http://www.wikidata.org/entity/Q388801,furosemide,arterial hypertension
http://www.wikidata.org/entity/Q388801,furosemide,liver cirrhosis
http://www.wikidata.org/entity/Q388801,furosemide,heart disease
http://www.wikidata.org/entity/Q388801,furosemide,anasarca
http://www.wikidata.org/entity/Q388801,furosemide,nephrotic syndrome
http://www.wikidata.org/entity/Q388801,furosemide,anuria
http://www.wikidata.org/entity/Q388801,furosemide,chronic kidney disease
http://www.wikidata.org/entity/Q388801,furosemide,pulmonary edema
http://www.wikidata.org/entity/Q388801,furosemide,liver disease
http://www.wikidata.org/entity/Q388801,furosemide,congestive heart failure
http://www.wikidata.org/entity/Q389207,eprazinone,
http://www.wikidata.org/entity/Q389496,Obinutuzumab,mantle cell lymphoma
http://www.wikidata.org/entity/Q389496,Obinutuzumab,chronic lymphocytic leukemia
http://www.wikidata.org/entity/Q389496,Obinutuzumab,non-Hodgkin lymphoma
http://www.wikidata.org/entity/Q389496,Obinutuzumab,diffuse large B-cell lymphoma
http://www.wikidata.org/entity/Q389496,Obinutuzumab,B-cell lymphoma
http://www.wikidata.org/entity/Q395229,agomelatine,major depressive disorders
http://www.wikidata.org/entity/Q407125,aluminum hydroxide,duodenal ulcer
http://www.wikidata.org/entity/Q407172,chorionic gonadotropin,infertility
http://www.wikidata.org/entity/Q407241,phenobarbital,epilepsy
http://www.wikidata.org/entity/Q407241,phenobarbital,febrile seizure
http://www.wikidata.org/entity/Q407241,phenobarbital,sleep disorder
http://www.wikidata.org/entity/Q407241,phenobarbital,bilirubin metabolic disorder
http://www.wikidata.org/entity/Q407241,phenobarbital,anxiety disorder
http://www.wikidata.org/entity/Q407241,phenobarbital,status epilepticus
http://www.wikidata.org/entity/Q407241,phenobarbital,cholestasis
http://www.wikidata.org/entity/Q407241,phenobarbital,tonic–clonic seizure
http://www.wikidata.org/entity/Q407241,phenobarbital,focal epilepsy
http://www.wikidata.org/entity/Q407241,phenobarbital,benign neonatal seizures
http://www.wikidata.org/entity/Q407308,theophylline,asthma
http://www.wikidata.org/entity/Q407308,theophylline,pulmonary emphysema
http://www.wikidata.org/entity/Q407308,theophylline,acute bronchitis
http://www.wikidata.org/entity/Q407418,L-menthol,pain
http://www.wikidata.org/entity/Q407418,L-menthol,skin disease
http://www.wikidata.org/entity/Q407431,warfarin,heart disease
http://www.wikidata.org/entity/Q407431,warfarin,pulmonary embolism
http://www.wikidata.org/entity/Q407431,warfarin,thrombosis
http://www.wikidata.org/entity/Q407431,warfarin,thrombophlebitis
http://www.wikidata.org/entity/Q407431,warfarin,transient cerebral isolation
http://www.wikidata.org/entity/Q407431,warfarin,atrial fibrillation
http://www.wikidata.org/entity/Q407431,warfarin,heart valve disease
http://www.wikidata.org/entity/Q407431,warfarin,atrial flutter
http://www.wikidata.org/entity/Q407431,warfarin,silent stroke
http://www.wikidata.org/entity/Q407431,warfarin,postoperative complications
http://www.wikidata.org/entity/Q407535,oxycodone,pain
http://www.wikidata.org/entity/Q407535,oxycodone,injury
http://www.wikidata.org/entity/Q407535,oxycodone,fibromyalgia
http://www.wikidata.org/entity/Q407535,oxycodone,substance abuse
http://www.wikidata.org/entity/Q407541,fentanyl,pain
http://www.wikidata.org/entity/Q407541,fentanyl,migraine disorder
http://www.wikidata.org/entity/Q407541,fentanyl,arthritis
http://www.wikidata.org/entity/Q407541,fentanyl,fibromyalgia
http://www.wikidata.org/entity/Q407541,fentanyl,peripheral neuropathy
http://www.wikidata.org/entity/Q407541,fentanyl,complex regional pain syndrome
http://www.wikidata.org/entity/Q407541,fentanyl,osteoarthritis susceptibility 1
http://www.wikidata.org/entity/Q407548,magnesium hydroxide,peptic ulcer disease
http://www.wikidata.org/entity/Q407548,magnesium hydroxide,constipation
http://www.wikidata.org/entity/Q407548,magnesium hydroxide,gastroesophageal reflux disease
http://www.wikidata.org/entity/Q407548,magnesium hydroxide,heartburn
http://www.wikidata.org/entity/Q407548,magnesium hydroxide,indigestion
http://www.wikidata.org/entity/Q407548,magnesium hydroxide,chronic kidney disease
http://www.wikidata.org/entity/Q407548,magnesium hydroxide,hematochezia
http://www.wikidata.org/entity/Q407548,magnesium hydroxide,peptic esophagitis
http://www.wikidata.org/entity/Q407548,magnesium hydroxide,metabolic disease
http://www.wikidata.org/entity/Q407548,magnesium hydroxide,gastric ulcer
http://www.wikidata.org/entity/Q407548,magnesium hydroxide,duodenal ulcer
http://www.wikidata.org/entity/Q407592,"(R,R) tramadol",pain
http://www.wikidata.org/entity/Q407617,sertraline,mental disorder
http://www.wikidata.org/entity/Q407617,sertraline,obsessive-compulsive disorder
http://www.wikidata.org/entity/Q407617,sertraline,post-traumatic stress disorder
http://www.wikidata.org/entity/Q407617,sertraline,eating disorder
http://www.wikidata.org/entity/Q407617,sertraline,anxiety disorder
http://www.wikidata.org/entity/Q407617,sertraline,panic disorder
http://www.wikidata.org/entity/Q407617,sertraline,generalized anxiety disorder
http://www.wikidata.org/entity/Q407617,sertraline,postpartum depression
http://www.wikidata.org/entity/Q407617,sertraline,neurotic disorder
http://www.wikidata.org/entity/Q407721,buprenorphine,pain
http://www.wikidata.org/entity/Q407721,buprenorphine,migraine disorder
http://www.wikidata.org/entity/Q407721,buprenorphine,arthritis
http://www.wikidata.org/entity/Q407721,buprenorphine,fibromyalgia
http://www.wikidata.org/entity/Q407721,buprenorphine,peripheral neuropathy
http://www.wikidata.org/entity/Q407721,buprenorphine,opioid use disorder
http://www.wikidata.org/entity/Q407721,buprenorphine,substance abuse
http://www.wikidata.org/entity/Q407721,buprenorphine,opiate dependence
http://www.wikidata.org/entity/Q407721,buprenorphine,heroin dependence
http://www.wikidata.org/entity/Q407721,buprenorphine,osteoarthritis susceptibility 1
http://www.wikidata.org/entity/Q153,ethanol,
http://www.wikidata.org/entity/Q2314,sodium chloride,dehydration
http://www.wikidata.org/entity/Q2314,sodium chloride,hemorrhagic shock
http://www.wikidata.org/entity/Q2314,sodium chloride,dry eye syndrome
http://www.wikidata.org/entity/Q2314,sodium chloride,corneal edema
http://www.wikidata.org/entity/Q3515,rabeprazole,Zollinger-Ellison syndrome
http://www.wikidata.org/entity/Q3515,rabeprazole,gastroesophageal reflux disease
http://www.wikidata.org/entity/Q3515,rabeprazole,duodenal ulcer
http://www.wikidata.org/entity/Q3515,rabeprazole,arterial occlusive disease
http://www.wikidata.org/entity/Q7739,arsenic trioxide,acute promyelocytic leukemia
http://www.wikidata.org/entity/Q12187,antibiotic,
http://www.wikidata.org/entity/Q15277,adenine,
http://www.wikidata.org/entity/Q18216,aspirin,osteoarthritis
http://www.wikidata.org/entity/Q18216,aspirin,pain
http://www.wikidata.org/entity/Q18216,aspirin,inflammation
