subject,predicate,object
" ""respiratory syncytial virus infectious disease"" ",Symptom," ""sneeze"" "
" ""Bocavirus infection"" ",Symptom," ""sneeze"" "
" ""rhinitis"" ",Symptom," ""sneeze"" "
" ""cataract"" ",Symptom," ""diplopia"" "
" ""intracranial aneurysm"" ",Symptom," ""diplopia"" "
" ""botulism"" ",Symptom," ""diplopia"" "
" ""urinary tract infection"" ",Symptom," ""frequent urination"" "
" ""NGLY1-deficiency"" ",Symptom," ""Short foot"" "
" ""myotonic dystrophy"" ",Symptom," ""muscle atrophy"" "
" ""Charcot–Marie–Tooth disease"" ",Symptom," ""muscle atrophy"" "
" ""leprosy"" ",Symptom," ""muscle atrophy"" "
" ""inclusion body myositis"" ",Symptom," ""muscle atrophy"" "
" ""Cataract-microcornea syndrome"" ",Symptom," ""cataract"" "
" ""Nevus comedonicus syndrome"" ",Symptom," ""cataract"" "
" ""myotonic dystrophy"" ",Symptom," ""cataract"" "
" ""cytomegaloviral disease"" ",Symptom," ""cataract"" "
" ""Creutzfeldt-Jakob disease"" ",Symptom," ""myoclonus"" "
" ""Myoclonic epilepsy"" ",Symptom," ""myoclonus"" "
" ""cytomegaloviral disease"" ",Symptom," ""parotitis"" "
" ""dyskinetic cerebral palsy"" ",Symptom," ""athetosis"" "
" ""antisocial personality disorder"" ",Symptom," ""violence"" "
" ""Japanese encephalitis"" ",Symptom," ""neck stiffness"" "
" ""dysplastic nevus syndrome"" ",Symptom," ""Dysplastic nevus"" "
" ""cystic fibrosis"" ",Symptom," ""bronchiectasis"" "
" ""respiratory syncytial virus infectious disease"" ",Symptom," ""apnea"" "
" ""pertussis"" ",Symptom," ""apnea"" "
" ""late dumping syndrome"" ",Symptom," ""finger tremor"" "
" ""pneumonia"" ",Symptom," ""cough"" "
" ""ehrlichiosis"" ",Symptom," ""cough"" "
" ""respiratory syncytial virus infectious disease"" ",Symptom," ""cough"" "
" ""Bocavirus infection"" ",Symptom," ""cough"" "
" ""smoking-related lung disease"" ",Symptom," ""cough"" "
" ""ornithosis"" ",Symptom," ""cough"" "
" ""pneumocystis pneumonia"" ",Symptom," ""cough"" "
" ""toxocariasis"" ",Symptom," ""cough"" "
" ""plague"" ",Symptom," ""cough"" "
" ""asthma"" ",Symptom," ""cough"" "
" ""dirofilariasis"" ",Symptom," ""cough"" "
" ""hantavirus pulmonary syndrome"" ",Symptom," ""cough"" "
" ""sarcoidosis"" ",Symptom," ""cough"" "
" ""measles"" ",Symptom," ""cough"" "
" ""pertussis"" ",Symptom," ""cough"" "
" ""mercury poisoning"" ",Symptom," ""cough"" "
" ""lung cancer"" ",Symptom," ""cough"" "
" ""legionnaires' disease"" ",Symptom," ""cough"" "
" ""Behçet's disease"" ",Symptom," ""cough"" "
" ""Lassa fever"" ",Symptom," ""cough"" "
" ""gastroesophageal reflux disease"" ",Symptom," ""cough"" "
" ""croup"" ",Symptom," ""cough"" "
" ""tuberculosis"" ",Symptom," ""cough"" "
" ""NGLY1-deficiency"" ",Symptom," ""Corneal scarring"" "
" ""Alzheimer's disease"" ",Symptom," ""misplacing things and losing the ability to retrace steps"" "
" ""Gerstmann syndrome"" ",Symptom," ""finger agnosia"" "
" ""pentalogy of Cantrell"" ",Symptom," ""omphalocele"" "
" ""shigellosis"" ",Symptom," ""hematochezia"" "
" ""Timothy syndrome"" ",Symptom," ""heart conduction disease"" "
" ""NGLY1-deficiency"" ",Symptom," ""Delayed skeletal maturation"" "
" ""Henoch-Schoenlein purpura"" ",Symptom," ""arthritis"" "
" ""brucellosis"" ",Symptom," ""arthritis"" "
" ""Behçet's disease"" ",Symptom," ""arthritis"" "
" ""Lyme disease"" ",Symptom," ""arthritis"" "
" ""Barmah Forest virus disease"" ",Symptom," ""arthritis"" "
" ""hepatitis B"" ",Symptom," ""jaundice"" "
" ""fasciolosis"" ",Symptom," ""jaundice"" "
" ""malaria"" ",Symptom," ""jaundice"" "
" ""liver cancer"" ",Symptom," ""jaundice"" "
" ""Wilson disease"" ",Symptom," ""jaundice"" "
" ""alcoholic liver disease"" ",Symptom," ""jaundice"" "
" ""cryptosporidiosis"" ",Symptom," ""jaundice"" "
" ""Clostridium difficile colitis"" ",Symptom," ""jaundice"" "
" ""cholangitis"" ",Symptom," ""jaundice"" "
" ""pancreatic cancer"" ",Symptom," ""jaundice"" "
" ""hepatitis"" ",Symptom," ""jaundice"" "
" ""cytomegaloviral disease"" ",Symptom," ""jaundice"" "
" ""hepatitis C"" ",Symptom," ""jaundice"" "
" ""yellow fever"" ",Symptom," ""jaundice"" "
" ""hepatocellular carcinoma"" ",Symptom," ""jaundice"" "
" ""portal hypertension"" ",Symptom," ""jaundice"" "
" ""acrodermatitis enteropathica"" ",Symptom," ""malabsorption"" "
" ""Wilson disease"" ",Symptom," ""blue nails"" "
" ""Behçet's disease"" ",Symptom," ""cutaneous pustular vasculitis"" "
" ""NGLY1-deficiency"" ",Symptom," ""Hypofibrinogenemia"" "
" ""rhinitis"" ",Symptom," ""nasal irritation"" "
" ""Toluene toxicity"" ",Symptom," ""nasal irritation"" "
" ""vitamin B12 deficiency"" ",Symptom," ""cardiomyopathy"" "
" ""Duchenne muscular dystrophy"" ",Symptom," ""cardiomyopathy"" "
" ""myotonic dystrophy"" ",Symptom," ""cardiomyopathy"" "
" ""Becker muscular dystrophy"" ",Symptom," ""cardiomyopathy"" "
" ""Chagas disease"" ",Symptom," ""cardiomyopathy"" "
" ""antisocial personality disorder"" ",Symptom," ""impulsivity"" "
" ""borderline personality disorder"" ",Symptom," ""impulsivity"" "
" ""attention deficit hyperactivity disorder"" ",Symptom," ""impulsivity"" "
" ""hereditary stomatocytosis"" ",Symptom," ""stomatocyte"" "
" ""tick-borne encephalitis"" ",Symptom," ""meningeal syndrome"" "
" ""toxoplasmosis"" ",Symptom," ""lymphadenopathy"" "
" ""Kaposi's sarcoma"" ",Symptom," ""lymphadenopathy"" "
" ""dengue fever"" ",Symptom," ""lymphadenopathy"" "
" ""toxocariasis"" ",Symptom," ""lymphadenopathy"" "
" ""measles"" ",Symptom," ""lymphadenopathy"" "
" ""obsolete adenovirus infectious disease"" ",Symptom," ""lymphadenopathy"" "
" ""West Nile fever"" ",Symptom," ""lymphadenopathy"" "
" ""monkeypox"" ",Symptom," ""lymphadenopathy"" "
" ""cytomegaloviral disease"" ",Symptom," ""lymphadenopathy"" "
" ""brucellosis"" ",Symptom," ""lymphadenopathy"" "
" ""Kawasaki disease"" ",Symptom," ""lymphadenopathy"" "
" ""adult-onset Still's disease"" ",Symptom," ""lymphadenopathy"" "
" ""HIV/AIDS"" ",Symptom," ""lymphadenopathy"" "
" ""adult-onset Still's disease"" ",Symptom," ""liver disease"" "
" ""cenesthopathic schizophrenia"" ",Symptom," ""cenesthopathy"" "
" ""Griscelli syndrome"" ",Symptom," ""albinism"" "
" ""Taussig–Bing syndrome"" ",Symptom," ""ventricular septal defect"" "
" ""bipolar disorder"" ",Symptom," ""psychomotor agitation"" "
" ""cluster headache"" ",Symptom," ""psychomotor agitation"" "
" ""Excited delirium"" ",Symptom," ""psychomotor agitation"" "
" ""post-traumatic stress disorder"" ",Symptom," ""nightmare"" "
" ""respiratory syncytial virus infectious disease"" ",Symptom," ""nasal congestion"" "
" ""cluster headache"" ",Symptom," ""nasal congestion"" "
" ""rhinitis"" ",Symptom," ""nasal congestion"" "
" ""obsolete adenovirus infectious disease"" ",Symptom," ""nasal congestion"" "
" ""nasopharyngitis"" ",Symptom," ""nasal congestion"" "
" ""neuroleptic extrapyramidal disorder"" ",Symptom," ""acute dystonia"" "
" ""diphtheria"" ",Symptom," ""fever"" "
" ""pneumonia"" ",Symptom," ""fever"" "
" ""salmonellosis"" ",Symptom," ""fever"" "
" ""mumps"" ",Symptom," ""fever"" "
" ""ehrlichiosis"" ",Symptom," ""fever"" "
" ""primary amebic meningoencephalitis"" ",Symptom," ""fever"" "
" ""Bocavirus infection"" ",Symptom," ""fever"" "
" ""dracunculiasis"" ",Symptom," ""fever"" "
" ""granulomatous amebic encephalitis"" ",Symptom," ""fever"" "
" ""Kaposi's sarcoma"" ",Symptom," ""fever"" "
" ""O'nyong'nyong fever"" ",Symptom," ""fever"" "
" ""Marburg virus disease"" ",Symptom," ""fever"" "
" ""fasciolosis"" ",Symptom," ""fever"" "
" ""ornithosis"" ",Symptom," ""fever"" "
" ""tick-borne encephalitis"" ",Symptom," ""fever"" "
" ""Crohn's disease"" ",Symptom," ""fever"" "
" ""toxocariasis"" ",Symptom," ""fever"" "
" ""plague"" ",Symptom," ""fever"" "
" ""gastroenteritis"" ",Symptom," ""fever"" "
" ""babesiosis"" ",Symptom," ""fever"" "
" ""diverticulitis"" ",Symptom," ""fever"" "
" ""Nipah Virus Infection"" ",Symptom," ""fever"" "
" ""trichinosis"" ",Symptom," ""fever"" "
" ""vaccinia"" ",Symptom," ""fever"" "
" ""tetanus"" ",Symptom," ""fever"" "
" ""chikungunya"" ",Symptom," ""fever"" "
" ""cryptosporidiosis"" ",Symptom," ""fever"" "
" ""dirofilariasis"" ",Symptom," ""fever"" "
" ""hantavirus pulmonary syndrome"" ",Symptom," ""fever"" "
" ""poliomyelitis"" ",Symptom," ""fever"" "
" ""leptospirosis"" ",Symptom," ""fever"" "
" ""polymyositis"" ",Symptom," ""fever"" "
" ""Clostridium difficile colitis"" ",Symptom," ""fever"" "
" ""measles"" ",Symptom," ""fever"" "
" ""exanthema subitum"" ",Symptom," ""fever"" "
" ""West Nile fever"" ",Symptom," ""fever"" "
" ""cholangitis"" ",Symptom," ""fever"" "
" ""pertussis"" ",Symptom," ""fever"" "
" ""meningitis"" ",Symptom," ""fever"" "
" ""Argentine hemorrhagic fever"" ",Symptom," ""fever"" "
" ""Japanese encephalitis"" ",Symptom," ""fever"" "
" ""monkeypox"" ",Symptom," ""fever"" "
" ""paratyphoid fever"" ",Symptom," ""fever"" "
" ""shigellosis"" ",Symptom," ""fever"" "
" ""rubella"" ",Symptom," ""fever"" "
" ""urinary tract infection"" ",Symptom," ""fever"" "
" ""acute lymphocytic leukemia"" ",Symptom," ""fever"" "
" ""cytomegaloviral disease"" ",Symptom," ""fever"" "
" ""legionnaires' disease"" ",Symptom," ""fever"" "
" ""yellow fever"" ",Symptom," ""fever"" "
" ""Behçet's disease"" ",Symptom," ""fever"" "
" ""Lassa fever"" ",Symptom," ""fever"" "
" ""herpes zoster"" ",Symptom," ""fever"" "
" ""Still's disease"" ",Symptom," ""fever"" "
" ""tuberculosis"" ",Symptom," ""fever"" "
" ""Brugia malayi filariasis"" ",Symptom," ""fever"" "
" ""Kawasaki disease"" ",Symptom," ""fever"" "
" ""scabies"" ",Symptom," ""fever"" "
" ""HIV/AIDS"" ",Symptom," ""fever"" "
" ""Lyme disease"" ",Symptom," ""fever"" "
" ""Barmah Forest virus disease"" ",Symptom," ""fever"" "
" ""Q fever"" ",Symptom," ""fever"" "
" ""smallpox"" ",Symptom," ""fever"" "
" ""social phobia"" ",Symptom," ""social anxiety"" "
" ""Ollier disease"" ",Symptom," ""Enchondroma"" "
" ""Oguchi disease-1"" ",Symptom," ""Mizuo–Nakamura phenomenon"" "
" ""GRACILE syndrome"" ",Symptom," ""hepatic steatosis"" "
" ""antisocial personality disorder"" ",Symptom," ""anti-social behaviour"" "
" ""mesothelioma"" ",Symptom," ""pleural effusion"" "
" ""Marfan syndrome"" ",Symptom," ""aortic aneurysm"" "
" ""NGLY1-deficiency"" ",Symptom," ""IUGR"" "
" ""NGLY1-deficiency"" ",Symptom," ""Decreased CSF total protein"" "
" ""myocardial infarction"" ",Symptom," ""angina pectoris"" "
" ""heart disease"" ",Symptom," ""angina pectoris"" "
" ""ischaemic heart disease"" ",Symptom," ""angina pectoris"" "
" ""leukemia"" ",Symptom," ""angina pectoris"" "
" ""aortic valve stenosis"" ",Symptom," ""angina pectoris"" "
" ""Marburg virus disease"" ",Symptom," ""arthralgia"" "
" ""African trypanosomiasis"" ",Symptom," ""arthralgia"" "
" ""premenstrual syndrome"" ",Symptom," ""arthralgia"" "
" ""hepatitis B"" ",Symptom," ""arthralgia"" "
" ""ornithosis"" ",Symptom," ""arthralgia"" "
" ""dengue fever"" ",Symptom," ""arthralgia"" "
" ""Crohn's disease"" ",Symptom," ""arthralgia"" "
" ""lupus erythematosus"" ",Symptom," ""arthralgia"" "
" ""chronic fatigue syndrome"" ",Symptom," ""arthralgia"" "
" ""chikungunya"" ",Symptom," ""arthralgia"" "
" ""West Nile fever"" ",Symptom," ""arthralgia"" "
" ""Japanese encephalitis"" ",Symptom," ""arthralgia"" "
" ""hepatitis C"" ",Symptom," ""arthralgia"" "
" ""yellow fever"" ",Symptom," ""arthralgia"" "
" ""Still's disease"" ",Symptom," ""arthralgia"" "
" ""Lyme disease"" ",Symptom," ""arthralgia"" "
" ""gout"" ",Symptom," ""arthralgia"" "
" ""Barmah Forest virus disease"" ",Symptom," ""arthralgia"" "
" ""vitamin B12 deficiency"" ",Symptom," ""hyperpigmentation"" "
" ""Kaposi's sarcoma"" ",Symptom," ""metastasis"" "
" ""early dumping syndrome"" ",Symptom," ""hot flash"" "
" ""onchocerciasis"" ",Symptom," ""lichenification"" "
" ""type-1 diabetes"" ",Symptom," ""polyphagia"" "
" ""type-2 diabetes"" ",Symptom," ""polyphagia"" "
" ""von Willebrand's disease"" ",Symptom," ""cerebral hemorrhage"" "
" ""cluster headache"" ",Symptom," ""red eye"" "
" ""conjunctivitis"" ",Symptom," ""red eye"" "
" ""Behçet's disease"" ",Symptom," ""erythema nodosum"" "
" ""von Willebrand's disease"" ",Symptom," ""hematoma"" "
" ""NGLY1-deficiency"" ",Symptom," ""brain atrophy"" "
" ""borderline personality disorder"" ",Symptom," ""anger"" "
" ""von Willebrand's disease"" ",Symptom," ""hemarthrosis"" "
" ""Van der Woude syndrome"" ",Symptom," ""cleft palate"" "
" ""Psoriatic erythroderma"" ",Symptom," ""erythroderma"" "
" ""NGLY1-deficiency"" ",Symptom," ""optic atrophy"" "
" ""pica"" ",Symptom," ""eating"" "
" ""chikungunya"" ",Symptom," ""musculoskeletal pain"" "
" ""NGLY1-deficiency"" ",Symptom," ""Coxa valga"" "
" ""post-traumatic stress disorder"" ",Symptom," ""chronic postsurgical or post traumatic pain"" "
" ""xanthomatosis"" ",Symptom," ""xanthoma"" "
" ""Lyme disease"" ",Symptom," ""encephalomyelitis"" "
" ""Marfan syndrome"" ",Symptom," ""Ectopia lentis"" "
" ""peptic ulcer disease"" ",Symptom," ""hematemesis"" "
" ""Bocavirus infection"" ",Symptom," ""atypical pneumonia"" "
" ""pneumocystis pneumonia"" ",Symptom," ""atypical pneumonia"" "
" ""NGLY1-deficiency"" ",Symptom," ""Multifocal epileptiform discharges"" "
" ""Ascher's syndrome"" ",Symptom," ""blepharochalasis"" "
" ""Fabry disease"" ",Symptom," ""chronic neuropathic pain"" "
" ""diabetic autonomic neuropathy"" ",Symptom," ""chronic neuropathic pain"" "
" ""multiple sclerosis"" ",Symptom," ""chronic neuropathic pain"" "
" ""diabetic neuropathy"" ",Symptom," ""chronic neuropathic pain"" "
" ""herpes zoster"" ",Symptom," ""chronic neuropathic pain"" "
" ""Lyme disease"" ",Symptom," ""chronic neuropathic pain"" "
" ""CADASIL"" ",Symptom," ""stroke"" "
" ""malignant hyperthermia"" ",Symptom," ""acidosis"" "
" ""Alzheimer's disease"" ",Symptom," ""memory loss that disrupts daily life"" "
" ""catatonic schizophrenia"" ",Symptom," ""psychological pillow"" "
" ""malignant hyperthermia"" ",Symptom," ""myoglobinuria"" "
" ""trichostrongyloidosis"" ",Symptom," ""burping"" "
" ""migraine disorder"" ",Symptom," ""burping"" "
" ""May–Thurner syndrome"" ",Symptom," ""abnormal skin coloration"" "
" ""catatonic schizophrenia"" ",Symptom," ""catalepsy"" "
" ""mumps"" ",Symptom," ""meningitis"" "
" ""ornithosis"" ",Symptom," ""meningitis"" "
" ""West Nile fever"" ",Symptom," ""meningitis"" "
" ""Lyme disease"" ",Symptom," ""meningitis"" "
" ""Lesch–Nyhan syndrome"" ",Symptom," ""self-injury"" "
" ""borderline personality disorder"" ",Symptom," ""self-injury"" "
" ""low compliance bladder"" ",Symptom," ""urinary urgency"" "
" ""fibromyalgia"" ",Symptom," ""allodynia"" "
" ""Korsakoff's syndrome"" ",Symptom," ""pseudoreminiscence"" "
" ""galactosemia"" ",Symptom," ""lactose intolerance"" "
" ""mercury poisoning"" ",Symptom," ""abdominal cramps"" "
" ""yellow fever"" ",Symptom," ""Faget sign"" "
" ""leukocyte-adhesion deficiency syndrome"" ",Symptom," ""delayed separation of umbilical cord"" "
" ""iridocyclitis"" ",Symptom," ""eye pain"" "
" ""typhoid fever"" ",Symptom," ""pallor"" "
" ""African trypanosomiasis"" ",Symptom," ""periodic fever"" "
" ""malaria"" ",Symptom," ""periodic fever"" "
" ""Timothy syndrome"" ",Symptom," ""tachycardia"" "
" ""early dumping syndrome"" ",Symptom," ""tachycardia"" "
" ""African trypanosomiasis"" ",Symptom," ""tachycardia"" "
" ""heart disease"" ",Symptom," ""tachycardia"" "
" ""late dumping syndrome"" ",Symptom," ""tachycardia"" "
" ""NGLY1-deficiency"" ",Symptom," ""tachycardia"" "
" ""Postural orthostatic tachycardia syndrome"" ",Symptom," ""tachycardia"" "
" ""mercury poisoning"" ",Symptom," ""tachycardia"" "
" ""yellow fever"" ",Symptom," ""tachycardia"" "
" ""hypertrophic cardiomyopathy"" ",Symptom," ""tachycardia"" "
" ""anticholinergic toxidrome"" ",Symptom," ""tachycardia"" "
" ""heart disease"" ",Symptom," ""balance disorder"" "
" ""Lassa fever"" ",Symptom," ""brain diseases"" "
" ""Alzheimer's disease"" ",Symptom," ""difficulty completing familiar tasks at home"
" ""bipolar disorder"" ",Symptom," ""mental depression"" "
" ""fibromyalgia"" ",Symptom," ""mental depression"" "
" ""HIV/AIDS"" ",Symptom," ""lethargy"" "
" ""amentia"" ",Symptom," ""perplexity"" "
" ""dermatomyositis"" ",Symptom," ""erythema"" "
" ""acrodermatitis enteropathica"" ",Symptom," ""erythema"" "
" ""Brugia malayi filariasis"" ",Symptom," ""erythema"" "
" ""gout"" ",Symptom," ""erythema"" "
" ""NGLY1-deficiency"" ",Symptom," ""electroencephalography abnormalities"" "
" ""chronic fatigue syndrome"" ",Symptom," ""night sweats"" "
" ""Kallmann syndrome"" ",Symptom," ""infertility"" "
" ""rabies"" ",Symptom," ""increase"" "
" ""neuroacanthocytosis"" ",Symptom," ""Acanthocyte"" "
" ""Drop attack"" ",Symptom," ""falling"" "
" ""burning mouth syndrome"" ",Symptom," ""burning mouth"" "
" ""brucellosis"" ",Symptom," ""neuritis"" "
" ""Lyme disease"" ",Symptom," ""neuritis"" "
" ""NGLY1-deficiency"" ",Symptom," ""exotropia"" "
" ""mercury poisoning"" ",Symptom," ""Chemical pneumonitis"" "
" ""congenital disorder of glycosylation type IIc"" ",Symptom," ""hh blood group"" "
" ""NGLY1-deficiency"" ",Symptom," ""Small hand"" "
" ""acrodermatitis enteropathica"" ",Symptom," ""abnormality of the eyebrow"" "
" ""gastroenteritis"" ",Symptom," ""heartburn"" "
" ""Clostridium difficile colitis"" ",Symptom," ""heartburn"" "
" ""peptic ulcer disease"" ",Symptom," ""heartburn"" "
" ""gastroesophageal reflux disease"" ",Symptom," ""heartburn"" "
