subject,predicate,object
olanzapine,use,sleep-wake disorder
olanzapine,use,schizophreniform disorder
olanzapine,use,reuptake inhibitor
olanzapine,use,bipolar disorder
hexachlorophene,use,acne
clonidine hydrochloride,use,opiate dependence
clonidine hydrochloride,use,arterial hypertension
clonidine hydrochloride,use,glaucoma
clonidine hydrochloride,use,oppositional defiant disorder
clonidine hydrochloride,use,pain
tropicamide,use,iritis
tropicamide,use,keratitis
tropicamide,use,iridocyclitis
ibandronic acid,use,osteoporosis
ibandronic acid,use,postmenopausal osteoporosis
ibandronic acid,use,bone disease
dipivefrin,use,open-angle glaucoma
dipivefrin,use,ocular hypertension
dipivefrin,use,glaucoma
esmolol,use,angina pectoris
esmolol,use,ventricular fibrillation
esmolol,use,arterial hypertension
esmolol,use,supraventricular tachycardia
esmolol,use,congestive heart failure
esmolol,use,myocardial infarction
betaxolol,use,open-angle glaucoma
betaxolol,use,ocular hypertension
betaxolol,use,pressure
betaxolol,use,arterial hypertension
betaxolol,use,angle type
betaxolol,use,glaucoma
fosfomycin,use,tract infections
fosfomycin,use,bladder infections
fosfomycin,use,women
fosfomycin,use,cystitis
fosfomycin,use,Escherichia coli infectious disease
fosfomycin,use,urinary tract infection
Follitropin Alpha,use,women
Follitropin Alpha,use,infertility
Follitropin Alpha,use,hormone
Follitropin Alpha,use,fertility problems
progesterone,use,endometrial hyperplasia
progesterone,use,hormone
progesterone,use,amenorrhea
Phendimetrazine,use,behavior change
Phendimetrazine,use,calorie program
Phendimetrazine,use,obesity
Phendimetrazine,use,exercise
Phendimetrazine,use,diet program
Phendimetrazine,use,weight
gemcitabine,use,tongue squamous cell carcinoma
gemcitabine,use,breast
gemcitabine,use,transitional cell carcinoma
gemcitabine,use,non-small-cell lung carcinoma
gemcitabine,use,head and neck squamous cell carcinoma
gemcitabine,use,bladder urothelial carcinoma
gemcitabine,use,diffuse large B-cell lymphoma
gemcitabine,use,lung
gemcitabine,use,bladder cancer
gemcitabine,use,bone sarcoma
gemcitabine,use,uterus leiomyosarcoma
gemcitabine,use,pancreatic ductal carcinoma
gemcitabine,use,non-Hodgkin lymphoma
gemcitabine,use,invasive ductal carcinoma
gemcitabine,use,pancreatic adenocarcinoma
gemcitabine,use,cancer
gemcitabine,use,mature T-cell and NK-cell lymphoma
gemcitabine,use,squamous cell carcinoma of the lung
gemcitabine,use,mycosis fungoides
gemcitabine,use,ovarian
gemcitabine,use,carcinoma of gallbladder and extrahepatic biliary tract
gemcitabine,use,cribriform carcinoma
gemcitabine,use,germ cell cancer
gemcitabine,use,pancreatic
gemcitabine,use,lymphoma
gemcitabine,use,bile duct carcinoma
dicyclomine,use,functional gastrointestinal disorder
dicyclomine,use,irritable bowel syndrome
aztreonam,use,female reproductive system disease
aztreonam,use,condition
aztreonam,use,lung infection
aztreonam,use,cystic fibrosis
aztreonam,use,sepsis
aztreonam,use,Pseudomonas infection
aztreonam,use,gram-negative bacterial infection
aztreonam,use,upper respiratory tract infection
aztreonam,use,skin infection
aztreonam,use,urinary tract infection
oxitriptan,use,major depressive disorders
Urofollitropin,use,polycystic ovary syndrome
Urofollitropin,use,ovarian disease
methenamine,use,bacteriuria
methenamine,use,cystitis
methenamine,use,urinary tract infection
ospemifene,use,psychologic dyspareunia
ospemifene,use,women
ospemifene,use,dryness
ospemifene,use,intercourse
ospemifene,use,menopause
epirubicin,use,breast cancer
epirubicin,use,gastric adenocarcinoma
epirubicin,use,invasive ductal carcinoma
imipen,use,staphylococcal infection
imipen,use,tract
imipen,use,sepsis
imipen,use,infective endocarditis
imipen,use,Pseudomonas infection
imipen,use,infections
imipen,use,upper respiratory tract infection
imipen,use,urinary tract infection
donepezil,use,confusion
donepezil,use,dementia
donepezil,use,Alzheimer's disease
donepezil,use,vascular dementia
donepezil,use,amnesia
donepezil,use,early-onset Alzheimer's disease
donepezil,use,disease
donepezil,use,Lewy body dementia
ethambutol,use,tuberculosis
ethambutol,use,Mycobacterium avium-intracellulare infection
ethambutol,use,pulmonary tuberculosis
α-streptozocin,use,Hodgkin's lymphoma
α-streptozocin,use,large intestine cancer
α-streptozocin,use,pancreatic cancer
potassium chloride,use,amounts
potassium chloride,use,mineral supplement
potassium chloride,use,potassium
potassium chloride,use,blood
potassium chloride,use,hypokalemia
perampanel,use,tonic–clonic seizure
perampanel,use,epilepsy
perampanel,use,seizures
haloprogin,use,Tinea
haloprogin,use,tinea pedis
ciclopirox,use,Tinea
ciclopirox,use,foot
ciclopirox,use,ringworm
ciclopirox,use,seborrhoeic dermatitis
ciclopirox,use,skin infections
ciclopirox,use,jock itch
ciclopirox,use,cutaneous candidiasis
ciclopirox,use,pityriasis versicolor
ciclopirox,use,tinea pedis
ciclopirox,use,onychomycosis
dexmethylphenidate,use,attention deficit
dexmethylphenidate,use,hyperactivity disorder
dexmethylphenidate,use,deficit hyperactivity
dexmethylphenidate,use,attention deficit hyperactivity disorder
sulfinpyrazone,use,coronary artery disease
sulfinpyrazone,use,angina pectoris
sulfinpyrazone,use,gout attack
sulfinpyrazone,use,myocardial infarction
enalapril,use,rheumatoid arthritis
enalapril,use,Bartter disease
enalapril,use,arterial hypertension
enalapril,use,congestive heart failure
enalapril,use,malignant hypertension
enalapril,use,anasarca
doxylamine,use,cough
doxylamine,use,relief
doxylamine,use,hay fever
doxylamine,use,headache
doxylamine,use,insomnia
doxylamine,use,allergies
doxylamine,use,sneezing
doxylamine,use,nose
aprindine,use,heart disease
trifluridine,use,herpes simplex virus keratitis
trifluridine,use,appendix cancer
trifluridine,use,rectum cancer
trifluridine,use,colon cancer
trifluridine,use,herpes simplex
trifluridine,use,rectosigmoid cancer
goserelin,use,prostate cancer
goserelin,use,endometriosis
antipyrine,use,otitis media
antipyrine,use,pain
indinavir,use,human immunodeficiency virus infectious disease
indinavir,use,HIV/AIDS
flavoxate,use,urinary incontinence
vidarabine,use,herpes simplex virus keratitis
vidarabine,use,herpes simplex
febuxostat,use,acid levels
febuxostat,use,hyperuricemia
febuxostat,use,gout
atenolol,use,atrial fibrillation
atenolol,use,angina pectoris
atenolol,use,ventricular fibrillation
atenolol,use,arterial hypertension
atenolol,use,supraventricular tachycardia
atenolol,use,congestive heart failure
atenolol,use,myocardial infarction
atenolol,use,blood pressure
phenylephrine,use,open-angle glaucoma
phenylephrine,use,Pruritus ani
phenylephrine,use,relief
phenylephrine,use,hay fever
phenylephrine,use,conditions
phenylephrine,use,vasomotor rhinitis
phenylephrine,use,hypotension
phenylephrine,use,supraventricular tachycardia
phenylephrine,use,hemorrhoid
phenylephrine,use,allergies
phenylephrine,use,nose
phenylephrine,use,congestion
phenylephrine,use,septic shock
reserpine,use,schizophrenia
reserpine,use,arterial hypertension
streptomycin,use,tularemia
streptomycin,use,anthrax
streptomycin,use,septicemic plague
streptomycin,use,brucellosis
streptomycin,use,bubonic plague
streptomycin,use,infective endocarditis
Liraglutide,use,behavior change
Liraglutide,use,type-1 diabetes
Liraglutide,use,glucose intolerance
Liraglutide,use,calorie program
Liraglutide,use,exercise
Liraglutide,use,diet program
Liraglutide,use,weight
pyrimethamine,use,brain
pyrimethamine,use,toxoplasmosis
pyrimethamine,use,HIV infection
pyrimethamine,use,malaria
pyrimethamine,use,toxoplasmosis infection
pyrimethamine,use,sulfonamide
pyrimethamine,use,Plasmodium falciparum malaria
pyrimethamine,use,parasite infection
pyrimethamine,use,body
bendroflumethiazide,use,arterial hypertension
bendroflumethiazide,use,congestive heart failure
bendroflumethiazide,use,anasarca
bendroflumethiazide,use,nephrotic syndrome
levodopa,use,Parkinson's disease
levodopa,use,stiffness
levodopa,use,difficulty
levodopa,use,disease
levodopa,use,shakiness
lorazepam,use,status epilepticus
lorazepam,use,anxiety
lorazepam,use,anxiety disorder
lorazepam,use,neurotic disorder
lorazepam,use,substance abuse
lorazepam,use,vomiting
lorazepam,use,focal epilepsy
lorazepam,use,insomnia
lorazepam,use,catatonia
lorazepam,use,sleep-wake disorder
lorazepam,use,schizophreniform disorder
levomethadyl acetate,use,opiate dependence
Alglucosidase alfa,use,glycogen storage disease
Alglucosidase alfa,use,glycogen storage disease II
benzthiazide,use,arterial hypertension
benzthiazide,use,congestive heart failure
benzthiazide,use,anasarca
benzthiazide,use,nephrotic syndrome
Alirocumab,use,risk
Alirocumab,use,stroke
Alirocumab,use,arteriosclerosis
Alirocumab,use,hyperlipoproteinemia type V
Alirocumab,use,lipedema
Alirocumab,use,chest pain
Alirocumab,use,blood vessels
Alirocumab,use,heart vessels
Alirocumab,use,heart attack
Alirocumab,use,hospital
D-Glucosamine,use,osteoarthritis
arsenic trioxide,use,acute promyelocytic leukemia
etoposide,use,histiocytosis
etoposide,use,acute myeloid leukemia
etoposide,use,B-cell lymphoma
etoposide,use,prostate cancer
etoposide,use,neuroblastoma
etoposide,use,testicular cancer
etoposide,use,diffuse large B-cell lymphoma
etoposide,use,lung benign neoplasm
etoposide,use,bladder cancer
etoposide,use,uterine cancer
etoposide,use,bone sarcoma
etoposide,use,forms
etoposide,use,lung small cell carcinoma
etoposide,use,non-Hodgkin lymphoma
etoposide,use,Kaposi's sarcoma
etoposide,use,trophoblastic neoplasm
etoposide,use,cancer
etoposide,use,rhabdomyosarcoma
etoposide,use,Ewing's sarcoma
etoposide,use,mycosis fungoides
etoposide,use,lung cancer
etoposide,use,germ cell cancer
etoposide,use,testicular malignant germ cell cancer
etoposide,use,brain cancer
etoposide,use,neuroblastoma
etoposide,use,lymphoma
etoposide,use,cell lung
(E)-chlorprothixene,use,schizophrenia
(E)-chlorprothixene,use,paranoid schizophrenia
(E)-chlorprothixene,use,schizophreniform disorder
tripotassium citrate,use,nephrolithiasis
tripotassium citrate,use,renal tubular acidosis
tripotassium citrate,use,hypokalemia
Bisoprolol / Hydrochlorothiazide,use,atrial fibrillation
Bisoprolol / Hydrochlorothiazide,use,heart disease
Bisoprolol / Hydrochlorothiazide,use,acute coronary syndrome
Bisoprolol / Hydrochlorothiazide,use,arterial hypertension
Bisoprolol / Hydrochlorothiazide,use,hydrochlorothiazide
Bisoprolol / Hydrochlorothiazide,use,ACE inhibitor
sevelamer,use,kidney disease
sevelamer,use,dialysis
sevelamer,use,hyperphosphatemia
sevelamer,use,blood phosphorus
sevelamer,use,phosphorus metabolism disease
sevelamer,use,chronic kidney disease
terbinafine,use,chronic mucocutaneous candidiasis
terbinafine,use,fungal infectious disease
terbinafine,use,Tinea
terbinafine,use,tinea corporis
terbinafine,use,pityriasis versicolor
terbinafine,use,tinea pedis
terbinafine,use,nail infection
terbinafine,use,onychomycosis
terbinafine,use,dermatomycosis
tazarotene,use,acne
tazarotene,use,acropustulosis
tazarotene,use,psoriasis
guanethidine,use,arterial hypertension
bicalutamide,use,prostate cancer
fondaparinux,use,atrial fibrillation
fondaparinux,use,lungs
fondaparinux,use,phlebitis
fondaparinux,use,thrombosis
fondaparinux,use,blood clots
fondaparinux,use,pulmonary embolism
fondaparinux,use,legs
fondaparinux,use,thrombophlebitis
acebutolol,use,angina pectoris
acebutolol,use,ventricular fibrillation
acebutolol,use,arterial hypertension
acebutolol,use,myocardial infarction
carmustine,use,glioma
carmustine,use,brain tumors
perphenazine,use,Tourette syndrome
perphenazine,use,schizophrenia
perphenazine,use,anxiety disorder
perphenazine,use,dementia
perphenazine,use,vomiting
perphenazine,use,Huntington disease
perphenazine,use,schizophreniform disorder
perphenazine,use,Reye syndrome
perphenazine,use,chronic depressive disorder
Secretin,use,gastrinoma
Secretin,use,exocrine pancreatic insufficiency
Amlodipine / benazepril,use,arterial hypertension
Amlodipine / benazepril,use,blood pressure
ketorolac,use,migraine disorder
dexbrompheniramine,use,flu
dexbrompheniramine,use,sinusitis
dexbrompheniramine,use,breathing illnesses
dexbrompheniramine,use,allergies
alfuzosin,use,prostate
alfuzosin,use,prostatic hypertrophy
ceftriaxone,use,female reproductive system disease
ceftriaxone,use,staphylococcal infection
ceftriaxone,use,otitis media
ceftriaxone,use,chancroid
ceftriaxone,use,enteritis
ceftriaxone,use,meningitis
ceftriaxone,use,infectious bone disease
ceftriaxone,use,cellulitis
ceftriaxone,use,pneumonia
ceftriaxone,use,sepsis
ceftriaxone,use,peritonitis
ceftriaxone,use,infective endocarditis
ceftriaxone,use,gram-negative bacterial infection
ceftriaxone,use,upper respiratory tract infection
ceftriaxone,use,pelvic inflammatory diseases
ceftriaxone,use,proctitis
ceftriaxone,use,Escherichia coli infectious disease
ceftriaxone,use,Lyme disease
ceftriaxone,use,epididymitis
ceftriaxone,use,bacterial meningitis
ceftriaxone,use,gonorrhea
ceftriaxone,use,bacterial pneumonia
ceftriaxone,use,urinary tract infection
formoterol,use,emphysema
formoterol,use,obstructive lung disease
formoterol,use,shortness
formoterol,use,bronchitis
formoterol,use,breath
formoterol,use,wheezing
formoterol,use,asthma
formoterol,use,lung disease
formoterol,use,disease COPD
formoterol,use,chronic obstructive pulmonary disease
Nintedanib,use,interstitial lung disease
Nintedanib,use,lung disease
tirofiban,use,coronary artery disease
tirofiban,use,unstable angina
tirofiban,use,myocardial infarction
tirofiban,use,ischaemic heart disease
Gemtuzumab ozogamicin,use,acute myeloid leukemia
Gemtuzumab ozogamicin,use,leukemia
loxoprofen,use,periarthritis
carbenicillin,use,gram-negative bacterial infection
carbenicillin,use,prostatitis
carbenicillin,use,urinary tract infection
Tenecteplase,use,acute myocardial infarction
Tenecteplase,use,coronary thrombosis
Tenecteplase,use,myocardial infarction
fingolimod,use,relapsing-remitting multiple sclerosis
fingolimod,use,secondary progressive multiple sclerosis
fingolimod,use,sclerosis
fingolimod,use,multiple sclerosis
fingolimod,use,primary progressive multiple sclerosis
levomepromazine,use,anxiety disorder
levomepromazine,use,pain
Hyoscyamine,use,intestinal disease
Hyoscyamine,use,tremor
Hyoscyamine,use,problems
Hyoscyamine,use,rhinitis
Hyoscyamine,use,spasm
Hyoscyamine,use,neurogenic bladder
Hyoscyamine,use,irritable bowel syndrome
Hyoscyamine,use,colic
Hyoscyamine,use,peptic ulcer disease
Hyoscyamine,use,bowel syndrome
Hyoscyamine,use,hypersalivation
Hyoscyamine,use,hyperhidrosis
dimenhydrinate,use,motion sickness
dimenhydrinate,use,vomiting
dimenhydrinate,use,central nervous system origin vertigo
tetrabenazine,use,Tourette syndrome
tetrabenazine,use,choreic movement
tetrabenazine,use,tardive dyskinesia
tetrabenazine,use,congenital torticollis
tetrabenazine,use,Huntington disease
cefoxitin,use,female reproductive system disease
cefoxitin,use,staphylococcal infection
cefoxitin,use,bacteroides infectious disease
cefoxitin,use,abscess
cefoxitin,use,infectious bone disease
cefoxitin,use,postoperative complications
cefoxitin,use,sepsis
cefoxitin,use,peritonitis
cefoxitin,use,gram-negative bacterial infection
cefoxitin,use,infections
cefoxitin,use,upper respiratory tract infection
cefoxitin,use,Escherichia coli infectious disease
cefoxitin,use,urinary tract infection
(S)-(−)-colchicine,use,Behçet's disease
(S)-(−)-colchicine,use,pericarditis
(S)-(−)-colchicine,use,gout
(S)-(−)-colchicine,use,familial Mediterranean fever
(S)-(−)-colchicine,use,gout attacks
norfloxacin,use,staphylococcal infection
norfloxacin,use,cystitis
norfloxacin,use,conjunctivitis
norfloxacin,use,Pseudomonas infection
norfloxacin,use,gram-negative bacterial infection
norfloxacin,use,Escherichia coli infectious disease
norfloxacin,use,gonorrhea
norfloxacin,use,prostatitis
norfloxacin,use,bacterial conjunctivitis
norfloxacin,use,urinary tract infection
esatenolol,use,arterial hypertension
esatenolol,use,myocardial infarction
(R,use,R)-asenapine
(R,use,R)-asenapine
(R,use,R)-asenapine
azathioprine,use,rheumatoid arthritis
azathioprine,use,autoimmune disease
azathioprine,use,autoimmune hepatitis
azathioprine,use,autoimmune thrombocytopenic purpura
azathioprine,use,multiple sclerosis
azathioprine,use,systemic lupus erythematosus
azathioprine,use,myasthenia gravis
azathioprine,use,ulcerative colitis
azathioprine,use,Crohn's colitis
Romiplostim,use,myelodysplastic syndrome
Romiplostim,use,lack
Romiplostim,use,platelets
Romiplostim,use,thrombocytopenia
Romiplostim,use,blood disorder
tiludronic acid,use,mammary Paget's disease
ambroxol,use,chronic obstructive pulmonary disease
fluvoxamine,use,panic disorder
fluvoxamine,use,anxiety disorder
fluvoxamine,use,obsessive-compulsive disorder
fluvoxamine,use,neurotic disorder
fluvoxamine,use,disorder
imatinib,use,acute myeloid leukemia
imatinib,use,leukemia
imatinib,use,gastrointestinal stromal tumor
imatinib,use,gastrointestinal carcinoma
imatinib,use,connective tissue benign neoplasm
imatinib,use,stromal tumors
imatinib,use,graft-versus-host disease
imatinib,use,cancer
imatinib,use,myeloid leukemia
imatinib,use,small intestine carcinoma
chlorambucilddv,use,breast cancer
chlorambucilddv,use,Hodgkin's lymphoma
chlorambucilddv,use,macroglobulinemia
chlorambucilddv,use,thrombogavitis
chlorambucilddv,use,testicular cancer
chlorambucilddv,use,Hodgkin lymphoma
chlorambucilddv,use,choriocarcinoma
chlorambucilddv,use,lymphosarcoma
chlorambucilddv,use,chronic lymphocytic leukemia
chlorambucilddv,use,ovarian cancer
cobimetinib,use,metastatic melanoma
cobimetinib,use,skin cancer
cobimetinib,use,melanoma
butorphanol,use,pain
butorphanol,use,migraine disorder
cephalexin,use,staphylococcal infection
cephalexin,use,cellulitis
cephalexin,use,gram-negative bacterial infection
cephalexin,use,upper respiratory tract infection
cephalexin,use,Escherichia coli infectious disease
cephalexin,use,bacterial pneumonia
cephalexin,use,pharyngitis
cephalexin,use,urinary tract infection
acitretin,use,acropustulosis
milnacipran,use,tissues
milnacipran,use,condition
milnacipran,use,muscles
milnacipran,use,ligaments
milnacipran,use,fibromyalgia
milnacipran,use,tendons
milnacipran,use,pain
linezolid,use,staphylococcal infection
linezolid,use,cellulitis
linezolid,use,pneumonia
linezolid,use,infections
linezolid,use,pulmonary tuberculosis
linezolid,use,bacterial pneumonia
linezolid,use,urinary tract infection
Podophyllin,use,female reproductive system disease
Podophyllin,use,squamous cell papilloma
Podophyllin,use,common wart
Podophyllin,use,anogenital venereal wart
Podophyllin,use,male reproductive system disease
econazole,use,Tinea
econazole,use,foot
econazole,use,ringworm
econazole,use,skin infections
econazole,use,jock itch
econazole,use,cutaneous candidiasis
econazole,use,pityriasis versicolor
econazole,use,tinea pedis
amisulpride,use,schizophrenia
droxidopa,use,condition
droxidopa,use,Parkinson's disease
droxidopa,use,neurodegeneration
droxidopa,use,multiple system atrophy
droxidopa,use,blood pressure
norgestimate,use,pregnancy
norgestimate,use,hormone medication
norgestimate,use,amenorrhea
tranexamic acid,use,period
tranexamic acid,use,subarachnoid hemorrhage
tranexamic acid,use,bleeding
tranexamic acid,use,blood coagulation disease
cephalothin,use,staphylococcal infection
cephalothin,use,gram-negative bacterial infection
cephalothin,use,upper respiratory tract infection
cephalothin,use,Escherichia coli infectious disease
cephalothin,use,urinary tract infection
almotriptan,use,migraines
almotriptan,use,migraine disorder
L-Glutamine,use,short bowel syndrome
methyclothiazide,use,arterial hypertension
methyclothiazide,use,congestive heart failure
methyclothiazide,use,anasarca
methyclothiazide,use,nephrotic syndrome
busulfan,use,acute myeloid leukemia
busulfan,use,leukemia
busulfan,use,B-cell lymphoma
busulfan,use,polycythemia vera
busulfan,use,chronic myeloid leukemia
busulfan,use,myelofibrosis
busulfan,use,pretreatment
busulfan,use,cell transplant
chlorothiazide,use,arterial hypertension
chlorothiazide,use,hydrochlorothiazide
chlorothiazide,use,congestive heart failure
chlorothiazide,use,anasarca
chlorothiazide,use,nephrotic syndrome
chlorothiazide,use,ACE inhibitor
gatifloxacin,use,staphylococcal infection
gatifloxacin,use,sinusitis
gatifloxacin,use,cystitis
gatifloxacin,use,acute bronchitis
gatifloxacin,use,pyelonephritis
gatifloxacin,use,gram-negative bacterial infection
gatifloxacin,use,upper respiratory tract infection
gatifloxacin,use,Escherichia coli infectious disease
gatifloxacin,use,gonorrhea
gatifloxacin,use,bacterial conjunctivitis
gatifloxacin,use,bacterial pneumonia
gatifloxacin,use,urinary tract infection
tetrahydrozoline,use,sinusitis
tetrahydrozoline,use,vasomotor rhinitis
tetrahydrozoline,use,redness
tetrahydrozoline,use,hyperaemia
benzydamine,use,pharyngitis
propofol,use,status epilepticus
propofol,use,agitation in dementia
propofol,use,subacute delirium
propofol,use,pain
mesalazine,use,microscopic colitis
mesalazine,use,colitis
mesalazine,use,sigmoid disease
mesalazine,use,irritable bowel syndrome
mesalazine,use,proctitis
mesalazine,use,ulcerative colitis
methoxsalen,use,cutaneous T cell lymphoma
methoxsalen,use,organs
methoxsalen,use,blood
methoxsalen,use,cell lymphoma
methoxsalen,use,T cell
methoxsalen,use,graft-versus-host disease
methoxsalen,use,acropustulosis
methoxsalen,use,skin
methoxsalen,use,cancer
methoxsalen,use,mycosis fungoides
methoxsalen,use,vitiligo
methoxsalen,use,lymph nodes
cladribine,use,cell leukemia
cladribine,use,cancer
cladribine,use,multiple sclerosis
cladribine,use,hairy cell leukemia
cladribine,use,lymphosarcoma
cladribine,use,chronic lymphocytic leukemia
fidaxomicin,use,condition
fidaxomicin,use,Clostridium difficile colitis
fidaxomicin,use,Clostridium difficile intestinal infectious disease
acetophenazine,use,schizophrenia
acetophenazine,use,schizophreniform disorder
melphalan,use,breast cancer
melphalan,use,neuroblastoma
melphalan,use,multiple myeloma
melphalan,use,amyloidosis
melphalan,use,myeloma
melphalan,use,cancer
melphalan,use,rhabdomyosarcoma
melphalan,use,neuroblastoma
melphalan,use,ovarian cancer
melperone,use,sleep disorder
rosiglitazone,use,maturity-onset diabetes of the young type 2
mibefradil,use,angina pectoris
mibefradil,use,arterial hypertension
phenoxybenzamine,use,urinary incontinence
phenoxybenzamine,use,arterial hypertension
phenoxybenzamine,use,urethral obstruction
phenoxybenzamine,use,malignant hypertension
phenoxybenzamine,use,bladder neck obstruction
cholic acid,use,peroxisomal disease
naratriptan,use,migraines
naratriptan,use,migraine disorder
ramucirumab,use,non-small-cell lung carcinoma
ramucirumab,use,gastric adenocarcinoma
ramucirumab,use,colon cancer
ramucirumab,use,cancers
clobazam,use,epilepsy
clobazam,use,seizures
obeticholic acid,use,liver disease
obeticholic acid,use,liver cirrhosis
obeticholic acid,use,cholangitis
obeticholic acid,use,primary biliary cirrhosis
Itraconazole,use,chronic mucocutaneous candidiasis
Itraconazole,use,fungal infectious disease
Itraconazole,use,Tinea
Itraconazole,use,leishmaniasis
Itraconazole,use,paracoccidioidomycosis
Itraconazole,use,vulvovaginal candidiasis
Itraconazole,use,oral candidiasis
Itraconazole,use,histoplasmosis
Itraconazole,use,cryptococcosis
Itraconazole,use,allergic bronchopulmonary aspergillosis
Itraconazole,use,aspergillosis
Itraconazole,use,sporotrichosis
Itraconazole,use,candidiasis
Itraconazole,use,onychomycosis
Itraconazole,use,entomophthoramycosis
Itraconazole,use,blastomycosis
Itraconazole,use,neutropenia
Itraconazole,use,coccidioidomycosis
Itraconazole,use,dermatomycosis
Lepirudin,use,unstable angina
Lepirudin,use,thrombocytopenia
venlafaxine,use,anxiety
venlafaxine,use,anxiety disorder
venlafaxine,use,chronic fatigue syndrome
venlafaxine,use,borderline personality disorder
venlafaxine,use,obsessive-compulsive disorder
venlafaxine,use,autism
venlafaxine,use,depression
venlafaxine,use,neurotic disorder
venlafaxine,use,post-traumatic stress disorder
venlafaxine,use,fibromyalgia
venlafaxine,use,attention deficit hyperactivity disorder
venlafaxine,use,pain
venlafaxine,use,migraine disorder
venlafaxine,use,generalized anxiety disorder
desipramine,use,depression
desipramine,use,neurotic disorder
desipramine,use,substance use disorder
desipramine,use,attention deficit hyperactivity disorder
desipramine,use,pain
Fluvastatin,use,coronary artery disease
Fluvastatin,use,diet
Fluvastatin,use,fats
Fluvastatin,use,LDL
Fluvastatin,use,arteriosclerosis
Fluvastatin,use,blood
Fluvastatin,use,lipedema
Fluvastatin,use,atherosclerosis
Fluvastatin,use,lipid metabolism disorder
Fluvastatin,use,hypertriglyceridemia
Fluvastatin,use,cholesterol
Fluvastatin,use,triglycerides
Fluvastatin,use,familial hyperlipidemia
Fluvastatin,use,hypercholesterolemia
tipranavir,use,HIV medications
tipranavir,use,HIV infection
tipranavir,use,human immunodeficiency virus infectious disease
deferiprone,use,myelodysplastic syndrome
deferiprone,use,thalassemia
deferiprone,use,iron
deferiprone,use,beta-thalassemia HBB/LCRB
deferiprone,use,rare hereditary hemochromatosis
deferiprone,use,blood transfusions
deferiprone,use,HFE hereditary haemochromatosis
deferiprone,use,blood disorder
deferiprone,use,body
ziprasidone,use,Tourette syndrome
ziprasidone,use,anxiety
ziprasidone,use,schizophrenia
ziprasidone,use,occurrences
ziprasidone,use,psychosis
ziprasidone,use,agitation
ziprasidone,use,schizoaffective disorder
chloroquine,use,rheumatoid arthritis
chloroquine,use,malaria
chloroquine,use,systemic scleroderma
chloroquine,use,mosquito bites
chloroquine,use,Plasmodium falciparum malaria
chloroquine,use,pemphigus
chloroquine,use,amebiasis
6-thioguanine,use,acute myeloid leukemia
aminophylline,use,pulmonary emphysema
aminophylline,use,acute bronchitis
aminophylline,use,asthma
aminophylline,use,bradycardia
cefaclor,use,tonsillitis
cefaclor,use,staphylococcal infection
cefaclor,use,otitis media
cefaclor,use,infectious bone disease
cefaclor,use,cephalosporin type
cefaclor,use,acute bronchitis
cefaclor,use,gram-negative bacterial infection
cefaclor,use,infections
cefaclor,use,upper respiratory tract infection
