subject,predicate,object
" ""epidemic typhus"" ",Cause," ""Rickettsia prowazekii"" "
" ""cephalosporin allergy"" ",Cause," ""cephalosporin antibiotic"" "
" ""apathy-aboulia syndrome"" ",Cause," ""schizophrenia"" "
" ""patent blue V allergy"" ",Cause," ""Patent Blue V"" "
" ""allergic asthma"" ",Cause," ""respiratory allergy"" "
" ""ascariasis"" ",Cause," ""Ascaris lumbricoides"" "
" ""chromosomal disease"" ",Cause," ""chromosome abnormality"" "
" ""GRACILE syndrome"" ",Cause," ""point mutation"" "
" ""arteriosclerosis"" ",Cause," ""heredity"" "
" ""dermatomyositis"" ",Cause," ""autoimmune disease"" "
" ""polymyositis"" ",Cause," ""autoimmune disease"" "
" ""hepatitis"" ",Cause," ""Hepatitis C virus"" "
" ""hepatitis C"" ",Cause," ""Hepatitis C virus"" "
" ""polycystic ovary syndrome"" ",Cause," ""genetic disease"" "
" ""alopecia"" ",Cause," ""autoimmune disease of the nervous system"" "
" ""gastroenteritis"" ",Cause," ""Campylobacter"" "
" ""Kaposi's sarcoma"" ",Cause," ""Kaposi's sarcoma-associated herpesvirus"" "
" ""echinococcosis"" ",Cause," ""Echinococcus"" "
" ""ventricular fibrillation"" ",Cause," ""cardiomyopathy"" "
" ""Hyper-IgD syndrome"" ",Cause," ""mevalonic aciduria"" "
" ""male infertility"" ",Cause," ""aspermia"" "
" ""malaria"" ",Cause," ""Plasmodium vivax"" "
" ""diphtheria"" ",Cause," ""Corynebacterium diphtheriae"" "
" ""pseudomembranous conjunctivitis"" ",Cause," ""Corynebacterium diphtheriae"" "
" ""Argasosis"" ",Cause," ""Argas"" "
" ""cataract"" ",Cause," ""rubella"" "
" ""complication of radiotherapy"" ",Cause," ""radiation therapy"" "
" ""liver cancer"" ",Cause," ""aflatoxins"" "
" ""Aflatoxicosis"" ",Cause," ""aflatoxins"" "
" ""pigmentary glaucoma"" ",Cause," ""Pigment dispersion syndrome"" "
" ""atrophic vaginitis"" ",Cause," ""absence"" "
" ""lactose intolerance"" ",Cause," ""absence"" "
" ""ornithosis"" ",Cause," ""Chlamydophila psittaci"" "
" ""Mauriac syndrome"" ",Cause," ""type-1 diabetes"" "
" ""thyroid nodule"" ",Cause," ""thyroid adenoma"" "
" ""smallpox"" ",Cause," ""Variola virus(vaccinia)"" "
" ""Androgen deprivation-induced senescence"" ",Cause," ""Androgen deprivation therapy"" "
" ""cancer"" ",Cause," ""cause of cancer"" "
" ""exanthema subitum"" ",Cause," ""Human herpesvirus 7"" "
" ""cataract"" ",Cause," ""diabetes mellitus"" "
" ""diabetic angiopathy"" ",Cause," ""diabetes mellitus"" "
" ""diabetic foot"" ",Cause," ""diabetes mellitus"" "
" ""arteriosclerosis"" ",Cause," ""diabetes mellitus"" "
" ""diabetic retinopathy"" ",Cause," ""diabetes mellitus"" "
" ""vascular dementia"" ",Cause," ""diabetes mellitus"" "
" ""endocrine exophthalmos"" ",Cause," ""thyroid gland disease"" "
" ""Atlantic salmon allergy"" ",Cause," ""Atlantic salmon"" "
" ""chlamydia infection"" ",Cause," ""Chlamydia trachomatis D/UW-3/CX"" "
" ""lidocaine allergy"" ",Cause," ""lidocaine"" "
" ""liver cirrhosis"" ",Cause," ""autoimmune hepatitis"" "
" ""Epstein-Barr virus-related Burkitt lymphoma"" ",Cause," ""Epstein–Barr virus infection"" "
" ""Burkitt lymphoma"" ",Cause," ""Epstein–Barr virus infection"" "
" ""adult Burkitt lymphoma"" ",Cause," ""Epstein–Barr virus infection"" "
" ""nasopharynx carcinoma"" ",Cause," ""Epstein–Barr virus infection"" "
" ""Hodgkin lymphoma"" ",Cause," ""Epstein–Barr virus infection"" "
" ""bartonellosis"" ",Cause," ""Bartonella"" "
" ""psychoorganic syndrome"" ",Cause," ""brain neoplasm"" "
" ""molluscum contagiosum"" ",Cause," ""Molluscum contagiosum virus"" "
" ""post-traumatic stress disorder"" ",Cause," ""rape"" "
" ""dumping syndrome"" ",Cause," ""gastrectomy"" "
" ""apathy-aboulia syndrome"" ",Cause," ""brain damage"" "
" ""Craniotabes"" ",Cause," ""rickets"" "
" ""anthrax"" ",Cause," ""anthrax toxin"" "
" ""wooden chest"" ",Cause," ""fentanyl toxicity"" "
" ""heterophyiasis"" ",Cause," ""Heterophyes heterophyes"" "
" ""lactose intolerance"" ",Cause," ""eating"" "
" ""malaria"" ",Cause," ""Plasmodium"" "
" ""West Nile fever"" ",Cause," ""West Nile virus"" "
" ""Ancylostoma duodenale ancylostomiasis"" ",Cause," ""Necator americanus"" "
" ""shigellosis"" ",Cause," ""Shigella dysenteriae"" "
" ""cryptosporidiosis"" ",Cause," ""Cryptosporidium hominis"" "
" ""Sjögren's syndrome"" ",Cause," ""autoimmunity"" "
" ""hepatitis"" ",Cause," ""autoimmunity"" "
" ""alcoholic liver disease"" ",Cause," ""alcohol consumption"" "
" ""endemic typhus"" ",Cause," ""Rickettsia typhi"" "
" ""Gasping syndrome"" ",Cause," ""benzyl alcohol"" "
" ""pericardial tuberculosis"" ",Cause," ""tuberculosis"" "
" ""vascular dementia"" ",Cause," ""stroke"" "
" ""autosomal dominant disease"" ",Cause," ""autosomal dominant"" "
" ""repressed memory"" ",Cause," ""psychological repression"" "
" ""endolymphatic hydrops"" ",Cause," ""Meniere's disease"" "
" ""elephantiasis"" ",Cause," ""podoconiosis"" "
" ""chemically induced disorder"" ",Cause," ""chemical substance"" "
" ""neuro-anemia syndrome"" ",Cause," ""pernicious anemia"" "
" ""liver cirrhosis"" ",Cause," ""primary sclerosing cholangitis"" "
" ""chronic fatigue syndrome"" ",Cause," ""viral infectious disease"" "
" ""extrapyramidal symptoms"" ",Cause," ""medication"" "
" ""microcephaly"" ",Cause," ""Zika virus infection"" "
" ""congenital Zika virus infection"" ",Cause," ""Zika virus infection"" "
" ""Cor bovinum"" ",Cause," ""Syphilitic aortitis"" "
" ""dientamoebiasis"" ",Cause," ""Dientamoeba fragilis"" "
" ""Lassa fever"" ",Cause," ""Lassa virus"" "
" ""tetany"" ",Cause," ""hypocalcaemia"" "
" ""vibration white finger"" ",Cause," ""hand arm vibrations"" "
" ""trichinosis"" ",Cause," ""Trichinella spiralis"" "
" ""paratyphoid fever"" ",Cause," ""Salmonella paratyphi A"" "
" ""spinal stenosis"" ",Cause," ""Paget's disease of bone"" "
" ""cerebral palsy"" ",Cause," ""brain diseases"" "
" ""trichostrongyloidosis"" ",Cause," ""Trichostrongylus probolurus"" "
" ""cryptosporidiosis"" ",Cause," ""Cryptosporidium fragile"" "
" ""pellagra"" ",Cause," ""niacin deficiency"" "
" ""delirium tremens"" ",Cause," ""alcohol abuse"" "
" ""contagious pustular dermatitis"" ",Cause," ""Parapoxvirus ovis"" "
" ""auto-brewery syndrome"" ",Cause," ""fermentation"" "
" ""milk allergy"" ",Cause," ""milk"" "
" ""uveal melanoma"" ",Cause," ""t2048393852"" "
" ""autoimmune disease"" ",Cause," ""type II hypersensitivity kelvinassociation"" "
" ""Prinzmetal's angina"" ",Cause," ""vasospasm"" "
" ""fetal nicotine spectrum disorder"" ",Cause," ""tobacco use disorder"" "
" ""rabies"" ",Cause," ""Rabies virus"" "
" ""diphyllobothriasis"" ",Cause," ""Diphyllobothrium dendriticum"" "
" ""respiratory syncytial virus infectious disease"" ",Cause," ""human respiratory syncytial virus"" "
" ""lymphocytic choriomeningitis"" ",Cause," ""Lymphocytic choriomeningitis virus"" "
" ""cryptosporidiosis"" ",Cause," ""Cryptosporidium parvum"" "
" ""periodontitis"" ",Cause," ""Prevotella intermedia"" "
" ""coronary artery disease"" ",Cause," ""arteriosclerosis"" "
" ""periodontitis"" ",Cause," ""Peptostreptococcus micros"" "
" ""radiation cystitis"" ",Cause," ""irradiation"" "
" ""radiation burn"" ",Cause," ""irradiation"" "
" ""African trypanosomiasis"" ",Cause," ""Trypanosoma brucei gambiense"" "
" ""allergy"" ",Cause," ""allergen"" "
" ""lung cancer"" ",Cause," ""radon"" "
" ""cysticercosis cutis"" ",Cause," ""Taenia solium"" "
" ""onchocerciasis"" ",Cause," ""Onchocerca volvulus"" "
" ""Lewy body dementia"" ",Cause," ""unknown"" "
" ""multiple chemical sensitivity"" ",Cause," ""unknown"" "
" ""cluster headache"" ",Cause," ""unknown"" "
" ""immune-mediated necrotizing myopathy"" ",Cause," ""unknown"" "
" ""Alzheimer's disease"" ",Cause," ""unknown"" "
" ""male infertility"" ",Cause," ""unknown"" "
" ""frontotemporal dementia"" ",Cause," ""unknown"" "
" ""inclusion body myositis"" ",Cause," ""unknown"" "
" ""tension headache"" ",Cause," ""unknown"" "
" ""obsessive-compulsive disorder"" ",Cause," ""unknown"" "
" ""migraine disorder"" ",Cause," ""unknown"" "
" ""fibromyalgia"" ",Cause," ""unknown"" "
" ""Brucella canis brucellosis"" ",Cause," ""Brucella canis"" "
" ""brucellosis"" ",Cause," ""Brucella canis"" "
" ""Reoviridae infectious disease"" ",Cause," ""Reoviridae"" "
" ""periodontitis"" ",Cause," ""Campylobacter gracilis"" "
" ""elephantiasis"" ",Cause," ""filarial elephantiasis"" "
" ""ventilator-associated pneumonia"" ",Cause," ""mechanical ventilation"" "
" ""sparganosis"" ",Cause," ""Sparganum"" "
" ""herpes zoster"" ",Cause," ""Human herpesvirus 3"" "
" ""theileriasis"" ",Cause," ""Theileria"" "
" ""carbamazepine allergy"" ",Cause," ""carbamazepin"" "
" ""periodontitis"" ",Cause," ""Campylobacter rectus"" "
" ""shigellosis"" ",Cause," ""Shigella sonnei"" "
" ""decompression sickness"" ",Cause," ""decompression"" "
" ""typhoid fever"" ",Cause," ""Salmonella enterica"" "
" ""cryptococcosis"" ",Cause," ""Cryptococcus gattii"" "
" ""lactocele"" ",Cause," ""Blocked milk duct"" "
" ""cardiomegaly"" ",Cause," ""dilated cardiomyopathy"" "
" ""glucocorticoid-induced osteoporosis"" ",Cause," ""glucocorticoid"" "
" ""steroid myopathy"" ",Cause," ""glucocorticoid"" "
" ""Trotter's syndrome"" ",Cause," ""nasopharynx carcinoma"" "
" ""asphyxia neonatorum"" ",Cause," ""cephalopelvic disproportion"" "
" ""tularemia"" ",Cause," ""Francisella tularensis"" "
" ""fluoride toxicity"" ",Cause," ""poisoning"" "
" ""phenobarbital allergy"" ",Cause," ""phenobarbital"" "
" ""malt worker's lung"" ",Cause," ""allergy"" "
" ""Soemmering ring"" ",Cause," ""adverse effect"" "
" ""Transfusion associated circulatory overload"" ",Cause," ""adverse effect"" "
" ""Vitreous touch syndrome"" ",Cause," ""adverse effect"" "
" ""Amalgam tattoo"" ",Cause," ""adverse effect"" "
" ""dental caries"" ",Cause," ""Lactobacillus"" "
" ""malignant hyperthermia"" ",Cause," ""succinylcholine"" "
" ""diabetic foot ulcer"" ",Cause," ""peripheral neuropathy"" "
" ""Antley-Bixler syndrome"" ",Cause," ""cytochrome P450 Oxidoreductase Deficiency"" "
" ""bacterial infectious disease"" ",Cause," ""pathogenic bacteria"" "
" ""pneumonia"" ",Cause," ""smoking"" "
" ""chronic obstructive pulmonary disease"" ",Cause," ""smoking"" "
" ""smoking-related lung disease"" ",Cause," ""smoking"" "
" ""myocardial infarction"" ",Cause," ""smoking"" "
" ""periodontitis"" ",Cause," ""smoking"" "
" ""pulmonary emphysema"" ",Cause," ""smoking"" "
" ""lung cancer"" ",Cause," ""smoking"" "
" ""ectoparasitism"" ",Cause," ""ectoparasite"" "
" ""Residual ovary syndrome"" ",Cause," ""oophorectomy"" "
" ""Lesch–Nyhan syndrome"" ",Cause," ""Hypoxanthine phosphoribosyltransferase 1"" "
" ""arteriosclerosis"" ",Cause," ""obesity"" "
" ""malaria"" ",Cause," ""Plasmodium malariae"" "
" ""Streptocerciasis"" ",Cause," ""mansonelliasis"" "
" ""O'nyong'nyong fever"" ",Cause," ""O'nyong'nyong virus"" "
" ""neonatal abstinence syndrome"" ",Cause," ""drug-induced abnormality"" "
" ""giardiasis"" ",Cause," ""Giardia lamblia"" "
" ""Argasidosis"" ",Cause," ""Argasidae"" "
" ""intermittent claudication"" ",Cause," ""Aortoiliac occlusive disease"" "
" ""Wilson disease"" ",Cause," ""genetics"" "
" ""major depressive disorders"" ",Cause," ""genetics"" "
" ""plague"" ",Cause," ""Yersinia pestis Antiqua"" "
" ""Taeniasis saginata"" ",Cause," ""Taenia saginata"" "
" ""intermittent claudication"" ",Cause," ""spinal stenosis"" "
" ""pulicosis"" ",Cause," ""infestation"" "
" ""Wheat warehouse itch"" ",Cause," ""infestation"" "
" ""Pthirus pubis infestation"" ",Cause," ""infestation"" "
" ""trombiculiasis"" ",Cause," ""infestation"" "
" ""Streptocerciasis"" ",Cause," ""Mansonella streptocerca"" "
" ""dermacentorosis"" ",Cause," ""Dermacentor"" "
" ""sulfonamide allergy"" ",Cause," ""sulfonamide"" "
" ""exposure keratitis"" ",Cause," ""ectropion"" "
" ""oxirane allergy"" ",Cause," ""ethylene oxide"" "
" ""Lemierre's syndrome"" ",Cause," ""Fusobacterium necrophorum"" "
" ""angiostrongyliasis"" ",Cause," ""Angiostrongylus cantonensis"" "
" ""hepatitis"" ",Cause," ""Hepatitis delta virus"" "
" ""supine hypotensive syndrome"" ",Cause," ""aortocaval compression syndrome"" "
" ""dysbaric osteonecrosis"" ",Cause," ""decompression sickness"" "
" ""nerve compression syndrome"" ",Cause," ""compression"" "
" ""AIDS-related lymphoma"" ",Cause," ""HIV/AIDS"" "
" ""arteriosclerosis"" ",Cause," ""arterial hypertension"" "
" ""vascular dementia"" ",Cause," ""arterial hypertension"" "
" ""insufficiency fracture"" ",Cause," ""osteoporosis"" "
" ""Semliki Forest fever"" ",Cause," ""Semliki Forest virus"" "
" ""toxoplasmosis"" ",Cause," ""Toxoplasma gondii"" "
" ""hordeolum"" ",Cause," ""Staphylococcus aureus"" "
" ""asphyxia neonatorum"" ",Cause," ""umbilical cord prolapse"" "
" ""Lyme disease"" ",Cause," ""Borrelia burgdorferi"" "
" ""periodontitis"" ",Cause," ""Campylobacter concisus"" "
" ""pneumonia"" ",Cause," ""aspiration pneumonia"" "
" ""periodontitis"" ",Cause," ""Fusobacterium nucleatum"" "
" ""asphyxia neonatorum"" ",Cause," ""placental abruption"" "
" ""Couvelaire uterus"" ",Cause," ""placental abruption"" "
" ""botulism"" ",Cause," ""botulinum toxin group"" "
" ""rickettsialpox"" ",Cause," ""infection"" "
" ""allescheriosis"" ",Cause," ""infection"" "
" ""pneumonia"" ",Cause," ""infection"" "
" ""Brucella suis brucellosis"" ",Cause," ""infection"" "
" ""Flaviviridae infectious disease"" ",Cause," ""infection"" "
" ""sparganosis"" ",Cause," ""infection"" "
" ""ostertagiasis"" ",Cause," ""infection"" "
" ""hymenolepiasis"" ",Cause," ""infection"" "
" ""gonococcal endophthalmia"" ",Cause," ""infection"" "
" ""philophthalmiasis"" ",Cause," ""infection"" "
" ""Flinders Island spotted fever"" ",Cause," ""infection"" "
" ""maple bark strippers' lung"" ",Cause," ""infection"" "
" ""opisthorchiasis"" ",Cause," ""infection"" "
" ""Skrljevo disease"" ",Cause," ""infection"" "
" ""alphavirus infections"" ",Cause," ""infection"" "
" ""Tuberculosis of the adrenal glands"" ",Cause," ""infection"" "
" ""Newcastle disease"" ",Cause," ""infection"" "
" ""Plasmodium malariae malaria"" ",Cause," ""infection"" "
" ""setariosis"" ",Cause," ""infection"" "
" ""Hot tub folliculitis"" ",Cause," ""infection"" "
" ""cytophagaceae infection"" ",Cause," ""infection"" "
" ""legionellosis"" ",Cause," ""infection"" "
" ""clostridial necrotizing enteritis"" ",Cause," ""infection"" "
" ""Haverhill fever"" ",Cause," ""infection"" "
" ""Mycoplasma pneumonia"" ",Cause," ""infection"" "
" ""Rhabditida infectious disease"" ",Cause," ""infection"" "
" ""baylisascariasis"" ",Cause," ""infection"" "
" ""Birnaviridae infection"" ",Cause," ""infection"" "
" ""trichomoniasis"" ",Cause," ""infection"" "
" ""glanders"" ",Cause," ""infection"" "
" ""paracoccidioidomycosis"" ",Cause," ""infection"" "
" ""mansonelliasis"" ",Cause," ""infection"" "
" ""gedoelstiosis"" ",Cause," ""infection"" "
" ""fasciolosis"" ",Cause," ""infection"" "
" ""trench fever"" ",Cause," ""infection"" "
" ""parvovirus infectious disease"" ",Cause," ""infection"" "
" ""trichostrongylosis"" ",Cause," ""infection"" "
" ""spiruridiasis"" ",Cause," ""infection"" "
" ""Poxviridae infectious disease"" ",Cause," ""infection"" "
" ""echovirus 9 infection"" ",Cause," ""infection"" "
" ""erythrasma"" ",Cause," ""infection"" "
" ""Secernentea infection"" ",Cause," ""infection"" "
" ""intestinal capillariasis"" ",Cause," ""infection"" "
" ""cowpox"" ",Cause," ""infection"" "
" ""mesocestoidiasis"" ",Cause," ""infection"" "
" ""chronic wasting disease"" ",Cause," ""infection"" "
" ""toxocariasis"" ",Cause," ""infection"" "
" ""white piedra"" ",Cause," ""infection"" "
" ""streptococcal infection"" ",Cause," ""infection"" "
" ""Pneumocystis infectious disease"" ",Cause," ""infection"" "
" ""algaemia"" ",Cause," ""infection"" "
" ""Carrion's disease"" ",Cause," ""infection"" "
" ""Buruli ulcer disease"" ",Cause," ""infection"" "
" ""Acinetobacter infectious disease"" ",Cause," ""infection"" "
" ""dipetalonemiasis"" ",Cause," ""infection"" "
" ""Acanthamoeba keratitis"" ",Cause," ""infection"" "
" ""Aleutian disease"" ",Cause," ""infection"" "
" ""(+)ssRNA virus infectious disease"" ",Cause," ""infection"" "
" ""Kunjin encephalitis"" ",Cause," ""infection"" "
" ""geotrichosis"" ",Cause," ""infection"" "
" ""dioctophymiasis"" ",Cause," ""infection"" "
" ""Mycoplasmatales infectious disease"" ",Cause," ""infection"" "
" ""Ureaplasma infection"" ",Cause," ""infection"" "
" ""encephalitozoonosis"" ",Cause," ""infection"" "
" ""acanthocheilonemiasis"" ",Cause," ""infection"" "
" ""blastocystosis"" ",Cause," ""infection"" "
" ""borreliosis"" ",Cause," ""infection"" "
" ""Haemophilus meningitis"" ",Cause," ""infection"" "
" ""Bordetella parapertussis whooping cough"" ",Cause," ""infection"" "
" ""lujo hemorrhagic fever"" ",Cause," ""infection"" "
" ""Omsk hemorrhagic fever"" ",Cause," ""infection"" "
" ""metagonimiasis"" ",Cause," ""infection"" "
" ""Whitewater Arroyo hemorrhagic fever"" ",Cause," ""infection"" "
" ""taeniasis"" ",Cause," ""infection"" "
" ""Creeping myiasis"" ",Cause," ""infection"" "
" ""Whipple disease"" ",Cause," ""infection"" "
" ""dirofilariasis"" ",Cause," ""infection"" "
" ""hantavirus pulmonary syndrome"" ",Cause," ""infection"" "
" ""Phormiosis"" ",Cause," ""infection"" "
" ""parasitic helminthiasis infectious disease"" ",Cause," ""infection"" "
" ""basidiobolomycosis"" ",Cause," ""infection"" "
" ""Helicobacter pylori infectious disease"" ",Cause," ""infection"" "
" ""cysticercosis"" ",Cause," ""infection"" "
" ""loiasis"" ",Cause," ""infection"" "
" ""pneumocystosis"" ",Cause," ""infection"" "
" ""Balkan hemorrhagic fever"" ",Cause," ""infection"" "
" ""Ciliophora infectious disease"" ",Cause," ""infection"" "
" ""herpes B"" ",Cause," ""infection"" "
" ""mucormycosis"" ",Cause," ""infection"" "
" ""Serratia infection"" ",Cause," ""infection"" "
" ""capillariasis"" ",Cause," ""infection"" "
" ""actinobacillosis"" ",Cause," ""infection"" "
" ""Alternariosis"" ",Cause," ""infection"" "
" ""human granulocytic anaplasmosis"" ",Cause," ""infection"" "
" ""tinea unguium"" ",Cause," ""infection"" "
" ""Japanese spotted fever"" ",Cause," ""infection"" "
" ""black piedra"" ",Cause," ""infection"" "
" ""hantavirus hemorrhagic fever"" ",Cause," ""infection"" "
" ""ascaridiasis"" ",Cause," ""infection"" "
" ""nephropathia epidemica"" ",Cause," ""infection"" "
" ""Wuchereria bancrofti filariasis"" ",Cause," ""infection"" "
" ""louping ill"" ",Cause," ""infection"" "
" ""Nipah virus encephalitis"" ",Cause," ""infection"" "
" ""(-)ssRNA virus infectious disease"" ",Cause," ""infection"" "
" ""Circoviridae infection"" ",Cause," ""infection"" "
" ""coccidiosis"" ",Cause," ""infection"" "
" ""lobomycosis"" ",Cause," ""infection"" "
" ""Alkhurma hemorrhagic fever"" ",Cause," ""infection"" "
" ""echinostomiasis"" ",Cause," ""infection"" "
" ""screw worm infectious disease"" ",Cause," ""infection"" "
" ""Milker's nodule"" ",Cause," ""infection"" "
" ""anisakiasis"" ",Cause," ""infection"" "
" ""Eastern equine encephalitis"" ",Cause," ""infection"" "
" ""thelaziasis"" ",Cause," ""infection"" "
" ""monieziasis"" ",Cause," ""infection"" "
" ""mycobacterium infectious disease"" ",Cause," ""infection"" "
" ""Monieziosis"" ",Cause," ""infection"" "
" ""West Nile encephalitis"" ",Cause," ""infection"" "
" ""ancylostomiasis"" ",Cause," ""infection"" "
" ""Chlamydia pneumonia"" ",Cause," ""infection"" "
" ""human immunodeficiency virus infectious disease"" ",Cause," ""infection"" "
" ""Oropouche fever"" ",Cause," ""infection"" "
" ""haemonchiasis"" ",Cause," ""infection"" "
" ""gonococcal infectious diseases"" ",Cause," ""infection"" "
" ""Borna disease"" ",Cause," ""infection"" "
" ""Polyomavirus-associated Nephropathy"" ",Cause," ""infection"" "
" ""Pseudamphistomum truncatum  infection"" ",Cause," ""infection"" "
" ""spirochetal diseases"" ",Cause," ""infection"" "
" ""papillomatosis"" ",Cause," ""infection"" "
" ""klebsiellosis"" ",Cause," ""infection"" "
" ""parasitic Ichthyosporea infectious disease"" ",Cause," ""infection"" "
" ""Ross River fever"" ",Cause," ""infection"" "
" ""conidiobolomycosis"" ",Cause," ""infection"" "
" ""avian reticuloendotheliosis"" ",Cause," ""infection"" "
" ""hypodermyasis"" ",Cause," ""infection"" "
" ""enzootic bovine leukosis"" ",Cause," ""infection"" "
" ""toxascariasis"" ",Cause," ""infection"" "
" ""gram-negative bacterial infection"" ",Cause," ""infection"" "
" ""Queensland tick typhus"" ",Cause," ""infection"" "
" ""sodoku"" ",Cause," ""infection"" "
" ""enterohaemorrhagic Escherichia coli infection"" ",Cause," ""infection"" "
" ""scrub typhus"" ",Cause," ""infection"" "
" ""Dipylidium caninum infectious disease"" ",Cause," ""infection"" "
" ""histoplasmosis"" ",Cause," ""infection"" "
" ""pleural tuberculosis"" ",Cause," ""infection"" "
" ""microsporidiosis"" ",Cause," ""infection"" "
" ""myiasis"" ",Cause," ""infection"" "
" ""Chrysomya myiasis"" ",Cause," ""infection"" "
" ""Torovirus infectious disease"" ",Cause," ""infection"" "
" ""papular stomatitis"" ",Cause," ""infection"" "
" ""arizonosis"" ",Cause," ""infection"" "
" ""Barmah Forest virus disease"" ",Cause," ""infection"" "
" ""Candidal intertrigo"" ",Cause," ""infection"" "
" ""Helicobacter infection"" ",Cause," ""infection"" "
" ""African histoplasmosis"" ",Cause," ""infection"" "
" ""necatoriasis"" ",Cause," ""infection"" "
" ""acanthocephaliasis"" ",Cause," ""infection"" "
" ""fascioloidiasis"" ",Cause," ""infection"" "
" ""necrotizing ulcerative gingivitis"" ",Cause," ""infection"" "
" ""gastroesophageal reflux disease"" ",Cause," ""gastric acid"" "
" ""pasteurellosis"" ",Cause," ""Pasteurella multocida"" "
" ""diphyllobothriasis"" ",Cause," ""Diphyllobothrium latum"" "
" ""Penicillin drug reaction"" ",Cause," ""penicillins"" "
" ""lymphogranuloma venereum"" ",Cause," ""Chlamydia trachomatis"" "
" ""inclusion conjunctivitis"" ",Cause," ""Chlamydia trachomatis"" "
" ""neuroleptic malignant syndrome"" ",Cause," ""antipsychotics"" "
" ""neuroleptic extrapyramidal disorder"" ",Cause," ""antipsychotics"" "
" ""smut"" ",Cause," ""Ustilaginomycotina"" "
" ""cardiomegaly"" ",Cause," ""hypertrophic cardiomyopathy"" "
" ""psychoorganic syndrome"" ",Cause," ""cerebral atherosclerosis"" "
" ""nonvital tooth"" ",Cause," ""pulpectomy"" "
" ""xanthoma"" ",Cause," ""hyperlipidemia"" "
" ""arteriosclerosis"" ",Cause," ""hyperlipidemia"" "
" ""hemorrhagic syndrome caused by Lonomia caterpillar"" ",Cause," ""Lonomia"" "
" ""arteriosclerosis"" ",Cause," ""stress"" "
" ""Transient epileptic amnesia"" ",Cause," ""temporal lobe epilepsy"" "
" ""trichostrongyloidosis"" ",Cause," ""Haemonchus contortus"" "
" ""bura bura disease"" ",Cause," ""Q11626621"" "
" ""Bruns apraxia"" ",Cause," ""frontal lobe disorder"" "
" ""fetal alcohol spectrum disorders"" ",Cause," ""alcohol use during pregnancy"" "
" ""meningeal carcinomatosis"" ",Cause," ""metastatic malignant neoplasm"" "
" ""psychoorganic syndrome"" ",Cause," ""non-controlled substance abuse"" "
" ""alveolar echinococcosis"" ",Cause," ""Echinococcus multilocularis"" "
" ""portal hypertension"" ",Cause," ""restrictive cardiomyopathy"" "
" ""periodontitis"" ",Cause," ""Treponema denticola"" "
" ""dermatophytosis"" ",Cause," ""Dermatophyte"" "
" ""monkeypox"" ",Cause," ""Monkeypox virus"" "
